LGA_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
LGA10900,403,139,272,411,107,246,349,3,5,7,3,3,3,0,3,6,186,357,545,197,332,523,172,335,507,2124,2269,4392,2309,2294,4597,1848,1968,3820,11409,11850,23257,11518,12068,23588,10924,11634,22558
LGA10950,3,0,5,11,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,3,10,10,0,4,4,83,80,167,137,133,268,167,165,327,383,371,760,459,440,898,397,448,852
LGA11100,133,80,124,207,125,193,322,0,7,8,5,0,5,3,5,4,80,123,205,158,198,352,252,379,637,1694,1756,3445,1538,1501,3044,1701,1721,3419,5572,5502,11080,6042,5917,11960,7546,7559,15104
LGA11150,6,0,6,9,0,3,6,0,0,0,0,0,0,0,0,0,0,6,8,4,6,14,0,3,6,185,162,345,252,234,490,267,266,536,521,481,997,504,500,1004,488,522,1012
LGA11200,3,3,3,4,0,3,7,0,0,0,0,0,0,0,0,0,0,3,4,5,4,7,0,3,6,165,104,267,66,63,129,123,78,196,351,320,672,229,269,500,275,262,538
LGA11250,65,20,47,68,23,43,71,0,0,0,0,3,3,3,3,5,24,69,88,29,63,96,37,61,92,927,934,1857,898,933,1830,822,810,1634,2834,2936,5768,2640,2794,5433,2369,2544,4914
LGA11300,197,82,148,237,135,178,312,3,3,9,3,4,11,3,5,13,175,190,362,244,272,514,324,380,698,1538,1457,2996,1211,1079,2288,1019,1076,2098,5566,5617,11185,5493,5600,11094,6165,6664,12822
LGA11350,192,56,134,194,66,132,192,0,4,4,0,3,7,0,3,5,76,177,248,80,175,263,80,168,250,1542,1435,2978,1123,1022,2149,2052,2085,4136,4802,4859,9661,4319,4589,8909,4941,5348,10292
LGA11400,38,17,23,37,4,28,29,0,0,0,0,0,0,0,0,0,12,34,47,17,28,43,10,32,43,372,328,695,281,316,596,563,564,1127,1762,1805,3561,1728,1896,3624,2045,2208,4253
LGA11450,210,62,178,243,82,227,317,7,3,6,3,5,7,0,3,3,88,183,272,92,224,321,123,307,425,1426,1549,2974,1471,1396,2870,1902,2048,3947,7903,8244,16151,8906,9237,18139,11893,12626,24523
LGA11500,540,212,429,645,225,537,769,13,22,27,11,11,23,6,11,24,248,480,724,338,577,916,430,861,1288,6294,6402,12701,5351,5592,10945,4953,5616,10570,24404,24844,49245,23055,24040,47096,23984,25344,49326
LGA11520,358,132,286,417,212,337,549,0,3,3,0,4,7,3,8,8,174,314,492,198,405,604,388,531,917,2872,2868,5739,2818,2617,5435,2522,2748,5277,9585,9853,19439,11038,11273,22317,12551,13308,25854
LGA11570,1387,645,1034,1677,695,1400,2097,48,43,96,32,34,69,38,44,81,825,1334,2161,1269,1697,2968,1539,2496,4037,14969,14408,29379,13976,13082,27057,11911,11761,23678,49674,48805,98478,53033,51722,104756,56841,56648,113490
LGA11600,12,0,4,4,0,9,12,0,0,0,0,0,0,0,0,0,3,7,12,0,4,6,0,9,9,143,97,239,66,64,129,142,123,261,430,420,844,328,347,672,368,402,776
LGA11650,1263,430,971,1405,437,958,1394,23,30,51,13,17,36,5,19,26,489,1110,1606,599,1212,1806,657,1296,1952,12052,13053,25103,10293,10968,21259,10230,11303,21528,44946,47072,92020,44607,47840,92446,45483,48877,94365
LGA11700,3,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,6,9,12,3,6,7,8,9,14,143,95,242,129,62,187,186,151,334,315,275,592,301,273,570,303,292,597
LGA11720,133,69,116,185,40,153,191,0,7,7,6,7,12,3,7,11,57,122,176,99,158,253,76,203,278,2039,1694,3734,2195,1744,3935,2930,2291,5222,7151,6779,13931,7598,7355,14954,8512,8332,16844
LGA11730,179,68,118,182,37,93,129,3,7,5,0,3,3,3,3,7,68,163,235,99,138,233,74,131,209,1883,1593,3477,1745,1565,3309,2406,2137,4546,7002,6936,13933,6685,6947,13634,6974,6977,13949
LGA11750,11,3,7,15,6,11,16,0,0,0,0,0,0,0,3,3,3,13,18,3,10,12,12,14,24,296,227,523,238,208,448,318,273,592,810,742,1553,720,690,1408,748,767,1517
LGA11800,292,88,203,298,100,214,320,0,7,9,0,8,4,3,10,12,102,272,372,128,283,410,172,297,473,2260,2247,4513,2196,2291,4486,2826,3053,5879,9813,10351,20163,9748,10668,20413,10290,11396,21687
LGA12000,5,3,6,10,0,5,6,0,0,0,0,0,0,0,0,0,0,10,8,12,11,26,0,3,7,98,111,207,144,146,293,253,244,502,574,640,1206,593,664,1258,713,728,1440
LGA12150,3,10,5,9,4,3,3,0,0,4,0,0,0,0,0,0,3,4,10,10,6,15,4,3,3,148,153,301,199,179,372,337,332,667,577,661,1234,558,618,1179,646,688,1334
LGA12350,22,6,31,41,18,20,37,3,0,3,0,0,0,0,0,0,20,27,48,14,33,44,22,34,51,417,397,816,561,503,1065,582,601,1185,1766,1772,3542,1795,1839,3633,1667,1829,3499
LGA12380,893,500,692,1191,619,937,1555,17,26,38,40,41,84,24,23,47,658,854,1512,1115,1259,2381,1381,1737,3118,9288,8639,17924,9062,8146,17210,7360,7100,14466,30863,29433,60293,33279,31994,65266,35755,34781,70534
LGA12700,20,8,18,34,3,24,24,0,0,0,0,0,0,0,0,0,15,31,42,8,25,37,5,25,32,302,310,613,259,260,523,376,374,753,1198,1256,2453,1134,1189,2321,1303,1335,2636
LGA12730,20,8,18,28,4,21,27,0,0,0,0,0,0,0,0,0,12,17,25,8,20,29,5,30,37,379,341,723,331,321,655,479,485,962,1363,1408,2765,1170,1303,2473,1251,1348,2594
LGA12750,123,48,114,158,29,85,112,0,6,6,6,0,9,8,5,8,37,111,144,64,140,205,51,112,156,1231,1231,2464,1348,1305,2649,1724,1771,3494,4340,4756,9103,4511,4745,9255,4613,4853,9463
LGA12850,856,287,604,892,431,930,1360,43,59,107,25,34,66,24,39,58,543,957,1497,655,1145,1798,1043,1794,2839,8302,7969,16270,7130,7043,14170,6008,6158,12169,29834,30065,59897,30079,30723,60810,30883,32127,63014
LGA12870,30,10,26,34,3,23,23,0,0,0,0,0,0,0,0,0,12,27,38,19,33,50,4,24,32,392,410,799,383,389,772,608,610,1218,1587,1629,3212,1531,1656,3185,1656,1799,3456
LGA12900,38,8,22,26,3,19,24,0,3,6,0,0,0,0,0,0,17,29,49,12,23,29,6,18,27,348,362,714,291,309,601,483,460,947,1460,1474,2932,1299,1329,2625,1459,1530,2985
LGA12930,655,254,486,741,378,605,979,7,15,24,9,10,21,6,10,12,347,561,909,476,714,1188,733,1008,1741,4729,4732,9461,3677,3806,7488,3516,3639,7158,20008,20090,40098,20243,20447,40691,22464,22661,45133
LGA12950,3,6,6,8,3,4,7,0,0,0,0,0,0,0,0,0,0,4,4,7,10,14,9,6,12,155,185,335,162,176,339,211,204,414,619,735,1356,583,676,1254,594,615,1207
LGA13010,17,12,22,30,6,18,29,0,0,0,0,0,0,0,0,0,7,17,25,11,21,33,9,22,34,407,324,730,405,283,684,631,524,1154,1316,1312,2631,1245,1228,2470,1356,1347,2699
LGA13310,97,50,61,105,33,89,125,0,0,0,0,0,0,0,0,0,55,101,153,71,77,153,69,109,177,1442,979,2421,1385,867,2251,1699,1186,2884,4458,3820,8280,4351,3852,8204,4695,4241,8938
LGA13340,34,6,30,34,17,18,33,0,3,3,5,0,6,0,0,0,13,28,38,16,37,45,23,28,48,309,304,615,325,308,627,381,427,813,1475,1505,2976,1467,1539,3006,1599,1683,3279
LGA13450,66,27,57,87,34,64,100,0,0,0,0,0,3,0,5,5,33,62,93,52,80,133,49,96,147,1044,980,2028,1110,946,2058,1364,1394,2760,3706,3614,7316,3846,3743,7587,4026,4093,8114
LGA13510,24,5,15,20,8,15,20,0,0,0,0,0,0,0,0,0,10,24,33,12,15,34,15,21,41,331,350,676,408,402,809,475,456,932,1450,1603,3055,1517,1577,3097,1520,1541,3061
LGA13550,33,13,26,37,8,28,34,0,4,4,0,0,0,0,0,0,18,33,45,18,32,45,13,31,47,424,395,823,480,483,962,538,574,1115,1691,1748,3441,1707,1800,3512,1718,1883,3598
LGA13660,20,3,10,13,7,10,18,0,0,0,0,0,0,0,0,0,3,22,27,3,12,16,6,10,17,187,167,350,131,114,244,313,267,583,711,730,1438,602,586,1184,749,722,1478
LGA13800,213,81,188,268,68,168,234,0,3,3,0,5,5,0,3,7,74,197,276,108,230,339,102,226,326,2293,2213,4504,2038,1913,3951,2038,2078,4116,9857,9942,19797,9653,9883,19539,9465,10009,19471
LGA13850,3,8,3,12,0,6,6,0,0,0,0,0,0,0,0,0,3,0,3,9,9,14,0,6,6,112,105,218,106,81,187,188,191,376,497,497,987,410,419,833,439,465,902
LGA13910,50,16,28,46,11,30,41,0,0,0,0,0,0,0,4,4,10,46,52,18,31,51,19,42,63,518,519,1036,577,640,1216,733,783,1510,2421,2637,5060,2500,2651,5148,2553,2804,5353
LGA14000,712,266,440,707,232,419,657,9,5,15,8,10,21,3,7,13,327,566,890,369,566,942,343,570,912,3246,3446,6694,2608,2687,5294,2651,2978,5623,21172,21902,43070,21464,22011,43478,22062,22880,44940
LGA14100,71,24,42,67,14,43,58,0,4,4,0,0,0,0,0,3,27,72,95,25,48,72,28,51,85,518,513,1025,345,358,703,386,381,763,2605,2013,4618,2385,1953,4338,2613,2101,4715
LGA14170,1198,408,702,1110,481,739,1220,14,16,29,13,12,32,7,10,19,614,995,1608,715,992,1710,837,1149,1985,8402,7773,16170,6607,6002,12612,6975,6823,13796,23837,24823,48661,24030,25135,49164,26830,28234,55060
LGA14200,35,5,25,33,10,38,48,0,0,3,0,0,3,4,0,4,20,36,51,7,37,46,51,70,118,468,508,977,545,582,1121,735,789,1529,2202,2309,4510,2290,2417,4708,2396,2547,4948
LGA14300,13,3,13,18,0,15,15,0,0,0,0,0,0,0,0,0,4,13,17,7,20,27,3,16,21,923,201,1121,938,172,1111,1151,288,1441,1529,753,2283,1529,764,2295,1677,883,2559
LGA14350,92,22,67,90,21,63,81,4,5,10,0,3,3,3,3,5,43,85,127,28,95,116,35,77,108,1463,1203,2666,1478,1077,2551,1923,1599,3526,4416,4215,8627,4215,4028,8251,4435,4304,8744
LGA14400,67,29,61,92,35,64,94,0,3,3,0,0,0,0,4,4,27,70,94,35,78,113,44,77,125,517,558,1069,469,442,908,718,773,1488,2922,2938,5852,2835,2834,5664,3034,3094,6127
LGA14500,503,165,363,534,214,406,622,12,5,16,5,3,9,0,0,0,247,380,627,240,433,672,291,497,784,2239,2462,4703,2283,2462,4742,2257,2634,4894,17201,17816,35013,18527,19280,37806,19947,20514,40457
LGA14550,31,14,20,29,11,15,22,0,0,0,0,0,0,0,0,0,14,34,50,18,21,41,12,22,33,283,299,577,342,318,654,473,426,900,1359,1430,2785,1252,1356,2604,1258,1307,2566
LGA14600,11,4,6,11,0,14,14,0,0,0,0,0,0,0,0,0,4,13,13,3,7,8,0,16,19,239,255,496,236,209,444,400,378,780,897,981,1877,837,891,1734,936,1005,1942
LGA14650,615,246,444,689,240,504,752,10,13,29,10,8,18,7,14,20,261,526,793,322,575,892,353,655,1012,5597,5941,11533,4924,5032,9955,4913,5381,10285,26641,27086,53729,25971,26785,52756,26394,27953,54344
LGA14700,218,69,143,209,73,145,218,3,0,5,0,3,3,4,6,7,118,170,287,99,160,260,116,194,314,1128,1036,2169,683,745,1428,865,850,1718,5084,4663,9744,4807,4812,9619,5639,5339,10979
LGA14750,31,6,13,17,10,11,26,0,0,0,0,0,0,0,3,5,11,27,40,12,23,29,13,21,34,516,428,944,440,498,936,574,585,1153,1907,1830,3738,1866,1973,3840,1782,1932,3709
LGA14850,180,66,124,192,48,104,152,4,5,12,0,4,9,5,3,6,76,165,244,91,162,257,86,136,221,1307,1375,2681,1231,1156,2383,1809,1870,3674,6682,7294,13978,6494,6973,13463,6568,7157,13728
LGA14870,68,18,46,65,24,40,66,0,0,3,0,0,0,0,0,3,27,56,85,21,56,75,38,53,90,1081,740,1822,1086,745,1831,1569,1177,2741,3190,2842,6030,3082,2767,5848,3439,3175,6611
LGA14900,622,228,487,712,360,662,1018,25,33,60,20,21,36,21,16,38,405,610,1012,442,763,1204,750,1128,1882,8301,8201,16496,7547,7548,15093,7881,7938,15817,28825,28970,57787,30659,31333,61998,34401,35645,70047
LGA14920,16,3,13,17,3,12,18,0,0,0,0,0,0,0,0,0,9,18,24,7,17,28,8,15,19,325,342,666,304,276,578,385,424,809,1044,1092,2131,1027,1060,2089,1080,1160,2248
LGA14950,6,3,16,18,0,9,9,0,0,0,0,0,0,0,0,0,4,3,7,3,16,16,3,9,10,77,84,166,92,79,176,125,169,297,433,482,915,405,444,845,402,505,906
LGA15050,221,76,180,250,110,212,322,5,4,6,0,4,4,3,3,3,90,234,327,121,223,343,168,284,450,2023,2065,4092,1991,1952,3938,2219,2198,4419,9510,9896,19407,10052,10446,20499,11439,11897,23334
LGA15240,259,72,174,251,63,200,263,3,3,6,4,0,5,4,7,12,92,236,331,106,229,328,100,266,361,2849,2988,5836,3028,3114,6143,3560,3883,7444,10937,11587,22523,10929,11565,22495,11102,12186,23289
LGA15270,62,17,55,73,32,39,67,0,0,3,4,4,5,0,0,0,31,56,83,36,69,107,33,59,89,798,759,1560,992,761,1755,1339,1308,2650,3157,3084,6235,3265,3190,6454,3678,3740,7415
LGA15300,39,15,28,40,5,13,22,0,0,0,0,0,0,0,0,3,17,31,52,14,39,55,14,19,32,855,825,1688,738,663,1407,908,856,1760,2250,2286,4528,2116,2087,4208,2118,2190,4311
LGA15350,193,61,107,170,52,113,163,0,4,4,0,4,3,0,0,0,72,176,247,81,141,221,81,138,215,1008,1259,2265,1074,1092,2164,980,1091,2071,3751,4343,8088,4207,4417,8618,4192,4678,8872
LGA15520,41,9,25,31,17,26,40,0,4,5,0,0,0,0,0,0,16,30,45,14,29,38,20,28,49,487,431,914,429,371,801,506,557,1067,1519,1519,3040,1418,1397,2814,1460,1677,3140
LGA15560,15,0,3,9,0,3,5,0,0,0,0,0,0,0,0,0,9,7,13,0,3,9,3,5,10,170,141,308,160,152,313,254,220,480,644,574,1220,584,493,1073,687,577,1262
LGA15650,52,16,34,56,14,33,53,0,0,0,0,0,0,0,0,3,21,39,60,21,42,66,20,42,66,851,571,1420,917,615,1535,862,584,1448,2606,2401,5008,2606,2365,4975,2630,2410,5036
LGA15700,52,19,36,54,15,36,51,4,0,4,0,0,3,0,0,0,34,50,77,29,56,87,24,45,70,666,726,1390,601,665,1269,855,911,1763,2466,2556,5018,2431,2600,5036,2543,2759,5304
LGA15750,47,5,33,38,13,27,34,0,0,0,0,0,0,0,0,0,17,34,55,6,37,43,20,34,53,529,460,990,514,493,1011,757,804,1562,1986,1922,3910,1788,1930,3717,1995,2140,4137
LGA15800,12,5,16,23,3,11,8,0,0,0,0,0,0,0,0,0,9,5,12,11,19,28,7,12,15,221,201,426,254,273,530,339,372,706,853,886,1739,839,927,1762,861,963,1827
LGA15850,17,10,15,24,0,10,8,0,3,3,0,0,0,0,3,3,5,14,19,8,21,29,3,11,14,227,236,462,202,236,444,360,358,718,939,978,1917,927,1004,1932,1007,1027,2036
LGA15900,519,214,385,595,219,397,621,8,10,17,7,7,11,9,20,23,253,453,709,312,519,828,316,545,862,5355,5345,10695,4723,4508,9237,4503,4845,9353,21858,22498,44362,22635,23104,45741,24272,25155,49427
LGA15950,593,195,325,517,147,291,431,4,9,15,4,8,7,0,3,3,285,483,768,263,420,682,205,405,609,3381,3341,6727,2759,2741,5500,2542,2723,5270,7962,8559,16527,7818,8487,16308,8050,9183,17233
LGA15990,1324,463,910,1367,525,946,1468,15,16,27,10,25,29,6,12,18,627,1164,1790,653,1153,1802,733,1199,1930,8680,8436,17108,6550,6466,13017,6650,7425,14077,34104,33948,68053,34772,35164,69933,37844,39058,76898
LGA16100,13,3,6,11,3,11,16,0,0,0,0,0,0,0,0,0,3,12,13,4,11,19,7,10,16,273,175,444,275,153,429,440,294,732,833,733,1563,801,667,1466,910,784,1698
LGA16150,89,55,87,135,55,103,152,4,0,7,3,0,3,0,6,3,43,88,136,74,105,177,78,130,202,1349,1353,2701,1395,1310,2711,1452,1490,2937,5449,5734,11184,5758,6020,11778,6148,6436,12589
LGA16200,41,7,19,26,16,33,50,0,0,0,0,3,3,0,0,0,13,43,52,17,34,44,14,40,54,445,448,895,640,634,1281,703,798,1501,2139,2153,4287,2224,2336,4562,2192,2438,4629
LGA16260,962,456,737,1193,497,903,1397,3,15,23,13,21,37,12,6,19,581,824,1410,815,1186,2001,988,1404,2389,9580,6898,16475,7684,6026,13707,8302,7024,15328,31317,27825,59141,31528,29566,61091,36068,34778,70845
LGA16350,629,248,538,784,239,592,832,16,9,23,4,8,13,6,15,21,295,559,857,343,712,1054,411,844,1251,6410,6401,12810,5928,5755,11681,6576,6478,13059,27444,27777,55223,27214,28094,55314,29546,30787,60338
LGA16380,214,85,196,281,94,211,302,4,4,6,3,5,11,4,8,12,78,176,259,113,254,367,135,281,413,2244,2510,4753,2201,2248,4447,2785,2974,5759,9247,9849,19093,9429,10090,19516,10346,11345,21684
LGA16400,220,63,198,269,80,181,254,0,8,8,4,4,11,4,5,12,72,209,279,99,249,347,113,229,342,2211,2239,4447,2251,2239,4488,2782,2866,5653,8890,9019,17914,9098,9542,18637,9735,10180,19912
LGA16490,249,91,186,272,98,193,289,0,4,3,0,0,3,3,3,10,113,200,310,123,214,339,142,243,378,1946,1797,3744,1808,1510,3318,2202,2115,4319,7761,7799,15555,7966,8048,16018,8743,8833,17578
LGA16550,653,257,478,728,354,530,878,14,15,26,3,8,15,4,5,17,397,580,980,455,704,1157,597,843,1434,7488,5877,13361,6731,5188,11915,6786,5299,12089,21635,20160,41790,23191,21812,45006,26456,25207,51664
LGA16610,87,25,51,74,15,48,61,0,3,3,0,0,3,3,0,0,25,85,115,29,74,100,23,66,87,709,737,1439,779,763,1544,1059,1050,2107,3065,3284,6344,3048,3278,6329,3234,3499,6731
LGA16650,415,234,314,548,404,557,964,20,11,29,11,9,18,15,16,30,308,391,699,493,550,1049,756,977,1734,4725,4599,9327,3974,3738,7717,3781,3841,7625,14561,14147,28714,14862,14361,29222,16794,16928,33724
LGA16700,496,219,351,566,246,424,670,3,4,15,4,7,14,3,9,5,269,408,674,357,504,861,427,638,1061,3749,3747,7496,2875,2837,5714,2669,2863,5534,15809,16099,31904,16184,16461,32648,17967,18664,36631
LGA16900,167,66,177,246,85,219,307,0,0,3,3,9,7,0,4,10,89,136,229,94,224,312,132,286,416,2129,2180,4309,1748,1748,3497,2032,2228,4260,9519,9516,19035,9367,9780,19147,9834,10578,20408
LGA16950,294,111,252,358,96,244,336,0,3,5,7,0,7,3,3,10,134,254,388,159,316,476,159,318,473,3298,3380,6681,3889,3469,7361,4711,4255,8970,12533,12925,25461,12944,13188,26138,13587,13810,27396
LGA17000,79,24,65,92,19,67,89,0,0,0,0,0,0,0,0,0,55,72,127,42,74,118,63,84,150,733,677,1410,731,616,1345,926,909,1830,3579,3485,7066,3448,3452,6901,3491,3672,7163
LGA17040,85,21,56,69,15,57,69,0,3,3,0,3,3,0,0,0,34,73,106,32,72,105,45,84,123,1365,1026,2395,1075,763,1840,1202,961,2167,3388,3153,6542,3158,2957,6114,3187,3031,6216
LGA17080,60,10,27,35,6,20,33,0,0,0,0,0,0,0,0,0,14,58,68,18,41,52,18,31,51,675,532,1202,573,438,1011,878,728,1610,2121,2072,4190,2018,1943,3966,2182,2167,4344
LGA17100,180,83,142,222,116,184,295,4,8,11,4,3,5,3,3,3,136,195,325,187,241,427,268,337,609,1705,1573,3277,1555,1442,2999,1566,1337,2905,6250,5948,12193,6299,5910,12208,6876,6586,13459
LGA17150,960,356,644,1004,315,623,938,4,14,17,8,11,17,3,15,19,415,790,1199,462,787,1252,437,791,1237,6385,6378,12762,5081,5129,10205,4592,4852,9439,30902,31016,61916,30246,30874,61119,30658,31497,62146
LGA17200,1360,744,894,1644,1261,1619,2875,16,13,33,31,24,50,17,41,58,1228,1532,2759,1643,2058,3708,2829,3773,6604,21929,17126,39052,12983,10484,23470,14751,12081,26829,35617,32603,68218,29841,29242,59080,38089,39885,77977
LGA17310,162,64,121,186,73,136,209,3,0,3,3,0,5,7,0,8,73,145,221,95,152,249,95,172,267,1702,1774,3476,1959,1905,3863,2598,2616,5217,7895,8139,16032,8204,8395,16599,8848,9349,18196
LGA17350,3,5,8,12,4,14,13,0,0,0,0,0,0,0,0,0,0,6,9,12,8,19,11,15,20,193,198,386,159,164,320,227,211,438,824,842,1665,805,796,1607,869,843,1713
LGA17400,21,4,28,34,9,9,16,0,3,3,0,0,0,0,0,0,10,19,29,12,33,49,12,14,25,221,205,424,304,265,570,408,448,853,865,903,1767,889,994,1882,925,1044,1964
LGA17420,557,215,443,658,252,425,676,3,7,14,6,12,19,6,3,15,321,567,883,349,635,990,456,704,1155,3108,3189,6293,2654,2638,5298,2557,2770,5336,21840,21999,43842,23053,23095,46145,25303,25411,50716
LGA17550,282,106,233,336,105,192,294,0,3,3,8,0,8,6,4,10,101,254,354,161,314,477,162,265,431,3240,3336,6575,2911,3200,6113,3723,4054,7773,11055,11634,22688,11233,12456,23694,12173,13450,25623
LGA17620,42,7,35,42,5,33,39,0,0,3,0,0,3,0,3,3,14,35,47,6,39,52,12,42,46,421,421,843,425,461,888,683,727,1410,1771,1813,3577,1849,1952,3800,2078,2312,4393
LGA17640,20,4,10,16,5,13,22,0,0,0,0,0,0,0,0,4,4,25,28,6,20,24,7,18,22,284,266,552,224,226,447,373,323,691,985,1064,2047,945,1015,1959,1047,1070,2112
LGA17650,15,3,7,11,3,10,14,0,0,0,0,0,0,0,0,0,5,15,20,6,10,12,8,18,20,147,163,305,160,154,311,252,265,508,828,921,1742,888,957,1840,863,996,1853
LGA17750,181,78,146,226,82,139,222,3,3,10,6,4,6,6,3,9,158,160,323,170,176,344,218,206,423,1576,1689,3260,1510,1597,3103,2042,2042,4080,9375,9770,19146,9289,10043,19339,9615,10455,20074
LGA17850,8,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,8,9,0,3,5,106,107,207,92,91,178,178,181,363,431,454,882,354,420,774,427,471,900
