LGA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA12900,48,73,173,173,341,67,46,3,0,34,90,105,135,242,34,16,0,0,33,85,64,104,169,1603,1614,327,327,1305,1274,3232,3221,6451
LGA12930,341,965,1612,1970,3583,975,569,15,16,309,922,1296,1505,2805,610,274,4,5,404,1316,1022,1596,2622,28591,28775,3268,3264,23075,26502,54935,58539,113473
LGA12950,33,44,95,88,181,32,22,0,0,11,40,40,58,105,28,8,0,0,21,28,47,41,84,727,737,126,129,561,615,1413,1481,2898
LGA13010,52,80,169,174,346,69,38,3,3,36,80,114,120,229,43,10,0,0,22,107,67,119,185,1404,1425,340,343,1156,1349,2909,3110,6017
LGA13310,116,238,432,459,889,152,107,7,4,101,193,268,308,573,101,53,4,0,83,263,193,314,506,4838,4884,1099,1131,4131,4546,10060,10566,20629
LGA13340,55,69,174,137,313,44,30,0,3,31,58,76,90,166,39,16,3,0,45,62,84,78,165,1936,1977,323,333,1273,1218,3538,3531,7065
LGA13450,82,170,328,341,668,152,93,4,5,54,185,212,275,490,114,49,0,3,56,193,175,247,422,4433,4456,758,760,3364,3448,8548,8668,17218
LGA13510,60,127,255,277,532,83,56,3,0,39,94,124,149,273,57,22,0,0,44,132,100,155,258,1997,2033,392,410,1412,1606,3806,4048,7853
LGA13550,49,102,171,216,387,87,45,7,0,48,98,135,147,283,40,21,0,0,30,112,75,135,208,2027,2057,501,526,1654,1701,4184,4278,8468
LGA13660,45,47,125,100,226,45,30,3,0,19,37,62,65,130,18,10,0,0,14,49,29,55,88,938,930,202,209,649,643,1786,1776,3566
LGA13800,156,382,663,743,1406,262,156,8,8,109,336,387,494,879,147,73,9,0,123,333,278,408,679,11459,11586,2307,2353,8922,9833,22686,23772,46461
LGA13850,9,17,42,57,99,34,16,0,0,14,21,53,40,86,9,3,0,0,8,18,18,20,36,476,487,95,101,388,391,963,980,1943
LGA13910,80,169,324,340,658,113,87,0,3,68,154,185,244,427,61,22,3,3,58,182,118,206,331,3159,3213,651,660,2465,2779,6273,6646,12916
LGA14000,318,903,1711,1949,3665,821,570,20,7,252,792,1092,1366,2467,601,298,13,6,381,1173,991,1477,2474,30700,31086,2666,2686,17879,21240,51243,55018,106259
LGA14100,30,103,173,212,386,86,56,0,0,33,92,117,150,272,74,29,3,0,40,141,114,179,293,2604,2660,314,306,1587,1960,4502,4930,9432
LGA14170,446,1004,1427,1738,3163,683,420,31,14,339,877,1059,1307,2372,450,168,17,12,338,1013,803,1188,1997,25596,25787,10567,10572,28230,33643,64393,69998,134390
LGA14200,86,147,284,322,608,114,68,3,0,61,129,177,202,380,69,26,3,0,39,148,108,171,282,2691,2707,624,659,2170,2472,5490,5840,11332
LGA14300,24,32,78,64,137,26,23,0,0,14,27,37,48,89,23,9,0,0,8,35,34,40,69,881,896,187,194,746,782,1822,1876,3694
LGA14350,171,241,531,511,1043,202,98,15,8,98,204,313,314,623,110,57,3,3,111,261,216,322,542,4406,4454,1066,1112,4310,4666,9787,10240,20022
LGA14400,47,151,349,396,745,194,132,7,4,53,152,245,290,539,117,53,3,0,77,245,187,295,483,4432,4509,653,677,2469,2877,7559,8059,15623
LGA14500,225,713,1594,1878,3478,972,634,21,11,223,791,1216,1436,2657,745,367,16,4,373,1230,1132,1594,2725,25953,26559,1852,1863,13195,17304,41009,45725,86730
LGA14550,41,72,147,150,297,65,35,3,0,34,74,101,113,218,35,15,3,0,26,74,64,89,152,1447,1467,368,362,1407,1359,3218,3189,6408
LGA14600,31,54,106,116,225,49,25,0,0,27,44,82,72,148,21,12,0,0,22,59,44,70,111,966,958,264,266,742,822,1969,2040,4010
LGA14650,641,1681,2958,3500,6458,1456,969,50,32,577,1596,2085,2595,4679,919,474,22,16,699,1934,1640,2420,4057,36178,36850,7150,7375,26740,31635,70067,75866,145935
LGA14700,86,221,342,398,739,147,109,3,3,50,190,209,305,514,112,52,0,0,80,268,195,322,516,6842,6911,1404,1349,4567,5480,12808,13748,26554
LGA14750,45,89,169,173,342,67,48,0,0,33,73,105,126,230,28,9,0,0,25,84,59,90,150,1812,1837,378,388,1458,1515,3650,3741,7387
LGA14850,156,305,517,614,1134,241,164,11,5,98,271,347,443,785,172,70,4,0,103,400,284,474,757,6346,6400,1783,1854,6437,7651,14571,15913,30478
LGA14870,115,215,333,381,711,137,72,3,5,75,165,215,249,461,76,41,3,3,66,178,141,226,371,3288,3326,742,756,3071,3295,7105,7381,14481
LGA14900,373,1028,1584,1798,3383,642,340,26,10,268,846,938,1198,2131,356,130,8,10,276,847,630,988,1618,36442,36646,4173,4247,29422,32400,70038,73296,143335
LGA14920,28,60,130,147,277,55,31,3,0,34,55,89,84,180,24,12,0,0,37,70,59,82,140,1277,1287,277,285,1092,1110,2642,2682,5322
LGA14950,13,24,49,54,106,26,11,3,0,19,23,46,32,75,14,12,0,0,12,24,28,30,59,591,597,70,66,403,371,1065,1033,2100
LGA15050,184,478,786,930,1714,340,225,15,8,118,419,470,647,1126,199,88,5,3,144,494,346,593,933,13306,13620,3108,3286,9713,11718,26126,28619,54742
LGA15240,558,986,2143,2216,4355,925,608,43,28,423,874,1389,1508,2888,602,273,19,16,403,1051,1014,1333,2348,16340,16445,3287,3342,12343,14630,31970,34419,66389
LGA15270,119,213,354,356,716,126,82,8,4,72,163,201,251,448,57,32,0,0,69,145,126,174,304,3889,3953,1008,1025,3122,3132,8013,8110,16126
LGA15300,67,77,158,146,300,57,25,3,3,30,63,93,98,190,20,11,0,0,23,55,45,70,116,1802,1793,531,543,1861,1846,4197,4182,8381
LGA15350,57,233,339,431,770,168,111,9,0,57,197,231,311,544,154,71,7,7,88,319,248,394,646,5269,5400,1074,1039,2937,4894,9282,11335,20617
LGA15520,65,106,234,255,485,104,59,7,3,44,95,155,160,317,53,26,4,3,49,105,111,129,242,2205,2243,451,465,1379,1435,4043,4141,8184
LGA15560,24,34,60,62,124,15,10,0,0,14,19,29,28,60,13,12,0,0,4,23,12,36,50,631,639,132,139,527,446,1294,1227,2515
LGA15650,38,85,144,160,304,58,33,4,0,38,92,100,118,219,21,9,3,0,31,80,52,93,148,2431,2449,742,749,2197,2168,5359,5373,10737
LGA15700,133,187,426,412,836,165,106,3,3,75,174,242,286,531,115,61,10,0,92,228,212,291,504,3098,3125,796,830,2890,3246,6783,7198,13981
LGA15750,50,103,172,188,358,60,38,0,0,41,90,105,126,226,31,19,0,0,33,79,62,97,159,2169,2174,450,450,1732,1684,4354,4308,8664
LGA15800,29,53,85,95,181,47,24,0,0,21,42,62,66,134,23,15,0,0,18,70,45,84,129,933,953,181,186,781,833,1902,1975,3871
LGA15850,34,53,107,97,202,37,20,0,0,31,53,69,74,141,22,10,0,0,24,48,48,61,103,1000,1021,225,238,866,889,2090,2149,4245
LGA15900,545,1109,1763,2068,3829,733,542,19,10,372,1085,1128,1638,2768,540,274,13,3,485,1491,1038,1760,2799,23362,23812,6455,6782,25612,28216,55432,58809,114235
LGA15950,182,478,662,782,1447,230,133,22,3,109,359,353,495,847,146,70,12,3,145,480,298,552,847,10553,10668,4345,4202,9038,12821,23937,27685,51619
LGA15990,643,1718,3131,3526,6653,1481,978,48,29,483,1600,2007,2602,4609,1092,548,19,19,763,2390,1876,2956,4831,47725,48345,9376,9562,31206,37004,88305,94907,183214
LGA16100,21,29,71,61,131,31,16,3,4,15,30,44,50,89,17,5,0,0,13,27,32,32,66,884,885,213,225,707,649,1802,1758,3559
LGA16150,122,333,467,589,1056,241,171,3,3,112,280,354,448,804,129,58,7,3,92,320,228,380,609,6444,6562,1471,1520,5024,6445,12935,14528,27466
LGA16200,58,121,201,236,443,82,63,0,4,60,111,141,174,315,62,36,0,0,42,136,107,170,275,2325,2361,493,509,1963,2164,4784,5040,9821
LGA16260,462,1120,2051,2319,4365,1009,590,27,16,376,1041,1412,1650,3064,617,280,12,4,452,1358,1082,1641,2720,44509,44761,4938,4878,32433,34611,81870,84251,166121
LGA16350,394,981,1520,1739,3261,605,341,19,14,271,800,897,1159,2055,296,125,3,5,286,887,587,1010,1600,33151,33376,7127,7376,28047,31197,68325,71948,140278
LGA16380,406,826,1662,1863,3522,812,589,31,24,295,789,1140,1397,2541,552,254,24,4,328,1017,901,1276,2176,14315,14540,2884,2997,9937,12789,27133,30327,57458
LGA16400,320,548,1293,1266,2558,509,309,17,13,191,491,719,815,1527,281,129,14,6,196,527,494,662,1161,12424,12708,2556,2656,9067,10121,24047,25486,49533
LGA16490,127,280,469,521,989,188,103,9,3,88,190,282,297,577,97,43,0,4,80,237,176,281,458,9802,9915,2319,2340,7479,7776,19600,20026,39629
LGA16550,375,881,1307,1636,2938,643,357,25,10,273,833,937,1202,2140,466,197,19,7,351,1118,829,1314,2150,19751,19947,6276,6277,22848,27049,48883,53276,102159
LGA16610,129,221,419,441,860,183,130,6,7,88,206,279,339,618,102,39,4,0,90,239,200,275,476,3595,3627,929,954,3415,3656,7939,8227,16171
LGA16650,289,795,1200,1512,2719,646,404,11,7,236,675,889,1087,1974,453,166,14,4,318,842,784,1018,1802,19553,19634,3359,3171,18006,19545,40916,42357,83270
LGA16700,284,790,1165,1470,2631,625,395,17,3,244,742,882,1145,2024,476,206,4,7,342,1065,822,1275,2098,22149,22304,3117,3152,17237,20598,42503,46058,88555
LGA16900,198,504,879,1042,1923,409,239,22,8,140,410,565,659,1222,248,105,12,3,151,429,410,538,952,12331,12515,2332,2402,9239,10937,23901,25853,49751
LGA16950,555,899,2099,2132,4230,881,583,31,26,389,833,1305,1442,2742,533,262,23,17,404,988,969,1269,2239,17542,17769,3710,3910,13186,15165,34438,36838,71283
LGA17000,54,96,207,202,411,97,60,4,0,40,85,138,150,286,42,24,0,3,36,110,77,137,215,3939,3992,892,917,2945,2860,7779,7769,15556
LGA17040,86,121,278,265,543,136,71,11,6,65,122,201,196,403,59,23,3,3,65,178,124,202,325,3264,3301,845,885,2804,2623,6910,6807,13717
LGA17080,76,94,256,235,486,106,55,0,0,53,107,162,166,325,54,27,0,0,54,137,101,166,268,2423,2478,582,616,1889,1838,4903,4936,9830
LGA17100,71,214,330,417,745,185,110,7,0,75,210,265,321,583,120,34,3,0,83,295,205,331,538,7319,7378,714,705,7393,7244,15427,15327,30754
LGA17150,502,1374,2592,2979,5568,1326,922,31,25,457,1351,1815,2304,4120,967,475,29,16,602,1988,1603,2475,4081,43452,43964,6629,6770,28310,33348,78391,84077,162469
LGA17200,461,762,1079,1195,2280,316,191,39,12,361,601,712,800,1518,234,72,10,4,257,584,508,658,1163,18588,18712,17399,13263,43928,44420,79912,76401,156316
LGA17310,207,525,835,995,1828,363,215,13,4,152,402,529,629,1153,221,97,9,4,140,515,364,608,976,9657,9837,2101,2202,7703,9418,19458,21456,40914
LGA17350,29,69,101,132,234,43,28,0,0,28,64,71,93,164,31,16,0,0,22,72,59,84,143,1147,1149,192,211,789,870,2122,2229,4351
LGA17400,41,62,129,126,261,54,21,0,0,28,55,86,75,168,14,6,0,0,19,61,41,74,109,1115,1113,251,258,936,992,2298,2371,4670
LGA17420,209,687,1560,1653,3210,713,399,8,4,207,561,931,969,1902,407,166,12,5,192,725,609,896,1507,35195,35687,2695,2706,18810,21410,56694,59802,116495
LGA17550,481,905,1762,1956,3715,806,546,35,19,399,939,1245,1510,2755,583,270,12,11,464,1087,1054,1371,2425,15330,15589,3530,3625,12735,15775,31596,34983,66581
LGA17620,48,113,180,227,415,88,56,0,0,28,109,116,168,282,50,20,0,0,45,115,93,134,229,2390,2415,566,591,1726,1863,4680,4868,9543
LGA17640,56,63,157,132,282,57,37,0,0,30,74,87,109,192,31,11,7,0,30,55,68,65,130,1500,1510,246,244,1011,950,2755,2707,5462
LGA17650,33,47,91,94,181,39,27,0,0,11,41,51,69,118,22,11,0,0,12,33,37,47,84,1122,1130,218,220,738,850,2075,2198,4274
LGA17750,153,395,641,810,1447,293,222,5,5,109,384,413,612,1024,201,90,4,0,139,448,347,539,883,10002,10198,2204,2353,8127,9807,20329,22364,42697
LGA17850,15,29,60,69,127,24,9,0,0,3,26,28,31,59,10,7,0,0,5,26,16,26,49,611,606,92,98,379,368,1085,1068,2152
LGA17900,64,47,110,80,189,22,11,0,0,23,30,48,38,89,12,4,0,0,16,27,28,29,53,667,663,299,306,1123,897,2083,1862,3943
LGA17950,17,22,50,43,94,13,14,0,0,13,18,24,28,51,11,3,0,0,3,15,17,17,32,454,447,85,94,367,324,909,869,1782
LGA18020,65,87,193,175,367,70,53,6,0,55,79,129,135,259,48,19,3,0,35,81,82,102,185,1558,1562,333,336,1258,1244,3145,3146,6296
LGA18050,166,382,540,663,1205,230,151,23,11,116,376,362,533,896,209,86,15,8,163,496,383,585,970,9055,9181,4007,3921,9717,11623,22782,24723,47506
LGA18100,25,37,94,78,171,29,20,0,3,20,26,42,52,97,27,10,0,0,15,45,43,60,104,696,702,109,109,483,476,1286,1289,2576
LGA18200,32,37,120,91,209,38,26,0,0,19,30,59,58,117,21,12,0,0,17,40,38,48,89,1140,1181,246,268,900,798,2293,2247,4531
LGA18230,170,356,619,699,1326,244,155,6,3,116,321,365,482,852,162,69,6,0,120,335,290,409,695,7664,7841,1820,1914,6246,7766,15733,17522,33254
LGA18250,135,420,666,808,1474,383,234,3,9,126,402,514,647,1164,298,136,16,0,173,549,486,686,1175,14293,14501,2102,2046,9277,12145,25673,28687,54358
LGA18350,198,466,978,1045,2021,435,251,13,9,155,400,609,661,1263,241,99,11,3,130,431,382,535,917,9091,9231,1667,1652,5439,7229,16197,18118,34314
LGA18400,130,223,477,494,972,235,128,9,9,72,181,310,315,626,104,53,4,0,76,228,185,281,471,9380,9517,1690,1745,5872,6231,16937,17490,34425
LGA18450,687,1581,2732,3253,5979,1352,874,44,26,546,1535,1944,2437,4382,867,390,17,15,603,1888,1484,2296,3785,34896,35316,6826,7057,31301,34216,73018,76594,149610
LGA18500,142,466,642,844,1485,316,166,8,8,120,367,444,539,983,276,122,17,7,171,566,464,689,1160,8551,8724,2667,2340,6699,10176,17923,21239,39156
LGA18710,49,86,191,179,372,64,53,4,0,28,68,97,119,216,53,22,0,0,30,101,86,118,200,3133,3135,618,676,1706,1971,5461,5781,11241
LGA19399,7,3,12,7,20,3,0,0,0,3,0,13,0,9,5,0,0,0,3,6,6,10,17,176,167,40,36,136,80,351,288,635
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,55,99,213,230,442,115,60,0,5,30,104,145,164,309,57,33,3,0,41,110,103,144,244,2223,2239,472,489,1552,1729,4240,4458,8696
LGA20260,54,92,200,195,392,88,61,0,4,36,97,122,154,279,44,24,0,3,52,112,103,140,238,1867,1870,426,424,1567,1635,3869,3929,7793
LGA20570,287,765,1149,1418,2574,546,374,15,11,217,706,785,1091,1874,337,161,8,3,254,884,593,1045,1641,15781,15933,3947,4063,14050,17824,33781,37828,71609
LGA20660,326,891,1470,1784,3251,740,512,11,10,258,807,1011,1335,2345,532,271,11,3,345,1105,891,1378,2268,22745,22964,3959,4039,16829,20265,43542,47267,90809
LGA20740,157,304,633,632,1268,244,183,5,6,136,270,391,459,850,177,97,3,0,135,319,312,416,727,5607,5637,1258,1299,4237,5194,11103,12127,23233
LGA20830,177,369,739,736,1478,310,192,6,6,123,306,441,512,947,183,85,0,7,117,359,300,455,757,8756,8840,1793,1870,5911,7091,16456,17805,34262
LGA20910,254,725,1173,1385,2555,533,393,22,13,226,662,785,1066,1855,529,275,17,10,339,1218,885,1503,2393,18816,19215,2810,2849,11401,15247,33028,37308,70330
LGA21010,65,117,274,279,551,121,84,5,0,46,119,169,198,367,87,40,0,3,63,176,153,222,373,2411,2461,519,511,1821,2238,4748,5211,9966
LGA21110,351,1068,1728,2151,3884,917,575,24,14,304,1028,1245,1618,2861,726,354,25,10,442,1572,1188,1931,3121,30580,31186,4885,4771,23249,29568,58715,65527,124247
LGA21180,430,1128,1955,2138,4094,866,487,22,16,335,991,1226,1492,2712,486,205,11,7,315,1031,808,1244,2050,34261,34403,4436,4464,33621,34013,72328,72876,145200
LGA21270,43,59,139,142,286,48,36,0,0,28,69,75,106,179,47,20,0,0,37,102,87,127,216,1149,1147,173,169,879,844,2197,2160,4356
LGA21370,171,283,636,659,1292,290,185,9,4,112,317,411,506,921,174,91,6,3,111,325,293,418,717,6570,6643,1343,1374,4902,5308,12816,13326,26138
LGA21450,188,416,818,837,1648,331,215,13,6,146,288,490,509,1005,196,87,8,4,134,379,337,472,808,16419,16561,3896,4055,11540,13140,31848,33751,65601
LGA21610,498,1262,2165,2443,4612,988,603,28,15,339,1063,1356,1683,3035,521,236,13,7,400,1121,933,1361,2297,56175,56494,8617,8815,40608,42969,105402,108280,213677
LGA21670,84,166,296,325,617,125,66,8,0,64,127,198,199,391,68,28,0,0,53,161,124,185,313,2119,2138,511,520,2078,2299,4710,4953,9656
LGA21750,103,183,316,358,671,135,94,5,3,50,171,198,266,464,82,38,0,0,61,197,144,234,382,3403,3425,859,848,2998,3146,7259,7418,14676
LGA21830,73,152,240,311,558,132,76,3,3,66,144,199,224,424,59,29,3,3,66,139,127,168,295,2862,2902,532,539,2217,2175,5602,5613,11215
LGA21890,434,1104,1616,2054,3675,943,552,31,15,358,1062,1329,1627,2955,560,234,13,8,445,1302,1024,1552,2568,21806,21941,6436,7011,24060,28001,52299,56962,109255
LGA22110,246,414,950,940,1897,374,233,25,10,170,380,571,626,1193,215,86,12,0,164,424,385,517,900,7848,7978,1779,1840,5742,6423,15362,16243,31605
LGA22170,409,930,1434,1695,3131,561,391,27,17,319,829,907,1234,2133,387,173,12,9,377,932,777,1116,1892,21060,21221,5867,6047,20079,23595,47005,50860,97867
LGA22250,65,112,243,243,486,95,70,0,3,46,100,143,172,315,64,31,3,3,43,122,114,153,267,1987,2002,356,384,1460,1489,3801,3880,7678
LGA22310,347,981,1325,1791,3115,690,512,23,15,283,914,996,1445,2437,654,292,20,3,458,1466,1138,1763,2902,25475,25736,4800,4715,19773,24232,50044,54687,104730
LGA22410,82,156,308,321,632,121,73,3,0,70,132,195,213,405,73,40,3,0,58,157,137,197,336,3338,3379,772,796,2758,2794,6869,6978,13841
LGA22490,51,71,208,175,384,62,36,0,3,30,62,98,104,199,34,13,0,0,28,78,65,92,161,4252,4311,849,873,2553,2336,7650,7519,15168
LGA22620,364,774,1405,1618,3017,656,418,15,5,272,684,945,1113,2057,384,205,12,7,306,840,708,1049,1754,17963,18231,4199,4365,15168,18341,37329,40930,78259
LGA22670,419,958,1630,1794,3429,785,452,30,15,284,924,1095,1386,2484,467,191,17,5,322,1028,809,1224,2034,26895,26899,2804,2866,28046,26020,57744,55787,113529
LGA22750,682,1746,2934,3541,6473,1402,1018,31,19,581,1593,2012,2632,4642,979,463,27,12,695,2074,1703,2548,4251,39389,39889,8417,8669,31894,39154,79707,87716,167422
LGA22830,193,414,794,856,1646,326,235,11,4,158,405,503,641,1143,257,122,9,8,145,443,401,571,976,10611,10698,2119,2149,8745,9575,21469,22418,43888
LGA22910,66,121,255,254,507,83,45,3,3,60,117,154,160,316,43,25,4,0,56,160,100,182,287,2497,2502,759,762,1950,2368,5205,5634,10835
LGA22980,26,55,108,126,234,59,32,3,3,27,52,85,86,165,43,29,0,0,26,85,74,115,187,1081,1104,176,175,821,823,2078,2100,4177
LGA23110,235,599,930,1142,2071,448,297,4,8,230,647,689,954,1640,301,139,3,4,256,706,563,849,1415,15383,15560,3471,3590,13256,14671,32113,33820,65931
