LGA_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
LGA11300,250,569,380,3003,126,4335,3,10,0,8,0,23,6339,65,91,53,129,6670,339,17,0,35,12,403,54,21,10,14,0,102,966,378,247,1822,129,3545,346,3,21,0,10,381,92,11,6,20,3,139,182,41,24,174,15,437,952,101,40,222,41,1360,67,3,3,9,0,87,1597,9,12,13,29,1661,397,160,68,1071,50,1741,2183,287,130,463,87,3151,1429,10,9,4,52,1502,1285,157,67,151,52,1707,30,0,4,4,0,39,99,13,7,22,3,151,94,10,8,0,7,113,91,25,15,4,5,138,215,22,3,30,5,268,238,13,14,21,9,297,220,82,62,522,13,902,129,6,0,9,6,153,37,3,3,0,0,38,167,18,3,14,9,213,264,5,0,7,3,277,84,0,0,5,0,85,272,0,7,3,6,293,19,3,3,34,5,60,2311,174,85,119,76,2764,467,35,25,142,2082,2748,19880,1473,866,5887,2821,30924,265,570
LGA11350,160,1364,829,8952,296,11598,0,6,0,71,5,83,77,21,8,36,4,152,34,6,0,16,3,56,294,83,30,78,10,506,2384,1074,727,6118,271,10578,42,3,17,3,0,68,149,28,22,92,7,304,526,149,88,671,36,1463,68,34,9,63,3,179,46,26,3,6,0,85,80,16,12,11,6,126,481,258,204,2991,113,4054,240,96,42,316,27,721,8,0,0,0,0,13,21,8,3,24,0,56,6,3,0,7,0,19,39,18,9,31,3,97,57,14,6,10,6,92,150,55,32,20,8,260,108,30,16,30,5,185,63,13,13,25,0,111,511,239,170,1732,69,2723,30,8,0,14,3,54,56,15,4,0,0,76,61,4,3,28,0,99,19,9,10,8,4,40,6,5,0,0,0,12,11,3,0,0,0,17,78,30,13,84,0,205,1121,295,208,319,46,1984,131,70,47,479,2183,2904,5561,2378,1527,16431,2870,28765,147,1371
LGA11400,26,322,225,5780,125,6486,0,0,0,27,3,27,26,8,3,13,0,43,7,6,0,0,0,15,50,24,4,34,0,113,425,241,211,3822,113,4814,17,0,7,0,0,20,10,5,0,38,0,49,70,18,14,272,8,383,4,7,3,12,3,34,7,0,0,3,0,12,5,0,0,0,0,10,62,62,49,1226,22,1424,51,20,6,101,0,187,0,0,0,3,0,4,9,12,0,10,0,32,0,0,0,0,0,0,13,3,3,15,7,43,12,6,0,0,3,25,27,13,14,9,0,53,21,5,3,16,3,41,9,4,0,8,0,22,69,60,46,861,18,1055,8,3,0,0,0,6,16,3,4,0,0,22,6,4,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,22,0,44,97,38,26,73,3,239,17,13,8,341,346,733,897,549,385,9981,590,12396,20,307
LGA11450,302,2319,1499,17816,424,22356,3,5,0,61,0,76,525,33,14,68,8,650,298,47,29,90,12,483,310,103,69,134,20,626,3408,1735,1188,9694,401,16424,238,14,37,0,14,306,97,22,17,83,3,226,469,154,98,846,36,1606,205,73,41,139,9,465,130,25,11,31,5,204,306,25,11,9,5,356,734,324,200,3092,109,4461,1252,411,128,940,68,2795,19,4,0,3,0,26,300,43,25,47,16,434,60,16,6,13,9,105,609,130,76,305,33,1155,97,26,8,16,6,153,172,83,63,39,3,360,214,36,36,90,5,382,85,16,10,14,3,133,847,387,264,1968,82,3550,236,27,16,44,11,328,128,31,18,11,4,189,189,36,11,35,7,276,58,3,3,0,0,70,45,8,0,3,0,61,48,6,6,0,0,60,131,49,23,94,3,302,1859,357,190,382,58,2840,295,90,53,875,1681,3000,11741,4051,2521,28589,2740,49645,334,2474
LGA11500,1688,5252,3514,38862,1618,50936,16,26,13,380,34,467,2469,78,102,187,100,2942,855,80,45,110,28,1113,665,262,93,297,13,1333,8892,3805,2632,22766,1486,39583,3661,53,216,21,154,4107,466,51,33,206,27,788,1347,336,217,1850,112,3864,895,191,68,288,55,1493,382,54,37,66,7,549,4302,88,53,36,117,4593,1784,772,438,7068,281,10348,1672,521,178,1240,102,3709,97,0,5,3,3,112,1791,300,71,179,109,2445,358,41,25,16,12,456,769,232,125,454,39,1620,1030,93,68,61,81,1332,574,209,129,82,27,1024,1035,102,65,181,23,1402,407,41,24,56,13,542,2157,866,578,4593,179,8374,546,59,34,53,17,714,708,39,47,32,34,867,1204,95,64,94,51,1507,436,18,10,0,6,474,172,33,0,9,3,211,828,17,7,4,42,902,251,73,38,189,19,572,15606,1196,668,851,689,19012,2200,323,248,2201,7545,12522,52033,9382,6100,63579,11977,143075,1677,4866
LGA11520,477,2183,1354,12174,344,16547,5,3,3,27,3,45,4668,136,159,165,92,5225,388,45,40,56,7,538,265,100,47,79,0,495,3409,1368,921,7524,256,13471,387,9,40,0,3,433,172,29,21,79,3,305,531,159,79,707,23,1492,1808,251,99,550,61,2762,213,33,13,32,0,285,1022,26,32,8,16,1102,1181,500,311,4246,133,6360,7524,1155,471,1917,279,11352,1430,4,16,3,44,1507,912,155,58,146,31,1296,66,13,7,5,0,100,381,86,35,131,11,647,164,20,17,8,12,218,413,91,62,19,15,599,317,59,36,58,3,469,248,38,23,32,4,337,858,404,248,2287,49,3845,241,27,13,24,4,314,211,21,10,7,3,253,402,46,31,42,11,535,253,9,7,3,8,290,316,30,12,10,10,375,250,0,6,0,3,269,115,46,37,132,3,329,3555,456,368,376,83,4839,595,101,57,449,4302,5512,29575,4813,2833,22944,5575,65746,536,2149
LGA11570,6332,6042,3535,36223,1842,53972,53,33,8,225,31,349,26480,198,297,299,715,27986,1330,134,45,141,37,1684,591,134,99,212,19,1057,10345,3831,2271,21370,1514,39334,3285,39,237,13,115,3685,661,81,48,235,12,1039,1659,318,179,1668,130,3953,16467,1593,659,3015,613,22346,647,73,40,76,6,848,5171,99,71,42,150,5537,1918,1000,498,8939,321,12676,8945,1377,534,2379,359,13604,4184,13,37,25,100,4366,33868,3504,1235,1934,1706,42240,3271,246,80,195,108,3898,1252,238,97,328,40,1958,1588,86,74,42,79,1868,730,177,125,72,42,1143,1612,110,68,161,39,1987,564,42,24,87,19,738,1854,875,549,4711,184,8166,960,73,8,43,20,1104,298,38,25,21,7,390,1437,78,72,75,52,1708,580,14,25,9,14,635,1116,105,22,35,58,1332,15793,45,135,75,542,16581,201,75,42,246,13,579,34761,1974,997,1198,1596,40528,8853,690,497,2314,17880,30229,182357,16001,8579,66503,27005,300449,5986,6085
LGA11600,0,42,53,1169,27,1301,0,0,0,16,0,20,5,0,0,3,0,8,0,0,0,0,0,0,11,0,3,5,0,18,62,61,48,829,28,1033,0,0,0,0,0,0,0,0,3,11,0,11,12,3,0,101,3,117,3,0,0,4,0,6,0,0,0,0,0,0,9,3,0,0,0,11,14,9,20,281,3,324,24,10,4,22,0,59,21,0,0,0,0,21,3,0,0,3,0,6,0,0,0,0,0,0,9,0,0,0,0,6,21,0,0,0,0,22,6,3,3,8,0,18,0,0,0,3,0,0,0,0,0,5,0,4,11,10,17,204,6,249,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,24,9,6,12,0,47,7,0,3,109,151,267,223,99,99,2181,211,2817,0,52
LGA11650,1370,12507,8723,110952,3833,137389,6,29,16,655,46,755,1390,152,147,531,66,2290,456,103,28,101,16,704,2133,655,371,932,79,4177,22697,10678,7393,70868,3337,114969,977,51,257,27,46,1358,534,148,80,662,39,1464,2243,768,470,5306,198,8985,883,270,68,563,40,1832,437,100,31,119,25,710,736,123,66,73,26,1028,4029,2157,1249,23635,757,31821,2159,863,263,2523,183,6000,218,3,15,11,8,265,312,91,35,134,22,600,61,18,4,15,0,100,1255,385,131,714,55,2537,972,221,156,145,81,1578,1362,623,467,247,69,2768,693,141,80,271,24,1211,398,64,55,150,11,691,5187,2517,1620,15732,576,25635,379,91,16,78,10,580,639,99,58,42,31,866,673,77,68,253,26,1097,157,45,10,29,0,243,112,28,11,10,5,161,104,5,13,0,4,124,740,273,125,762,32,1933,6233,1731,1031,2206,309,11499,1150,529,450,6200,15729,24055,50659,21698,14380,187665,23556,297957,1399,12705
LGA11700,3,28,29,745,21,825,0,0,0,278,0,282,3,0,0,0,0,7,0,0,0,0,0,0,8,4,3,3,0,20,31,6,13,420,36,510,3,0,3,0,0,4,0,0,0,0,0,0,13,0,0,46,0,69,3,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,159,5,171,6,6,0,16,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,10,0,0,0,0,0,0,4,3,3,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,9,9,5,81,0,103,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,3,0,3,27,0,0,9,4,37,8,0,0,72,136,221,118,49,37,1536,194,1939,0,33
LGA11720,118,1396,917,20512,592,23522,0,0,3,128,3,134,105,6,5,48,4,174,25,3,6,10,0,50,138,78,46,126,10,401,1724,1204,831,13363,572,17697,75,0,36,0,0,117,31,12,7,63,0,110,291,89,88,1085,44,1600,40,20,0,55,3,117,43,5,3,12,0,58,50,0,14,9,0,72,226,167,118,3003,88,3598,114,61,15,267,11,468,3,0,0,0,0,13,24,10,4,23,3,62,5,0,3,5,0,16,56,24,7,22,4,115,74,32,14,38,4,161,90,67,22,29,11,217,166,24,15,91,0,299,24,4,4,31,0,64,569,470,271,2942,115,4358,37,9,4,4,3,52,20,5,4,5,3,36,25,7,5,28,0,64,9,0,3,0,0,9,7,0,0,0,0,10,0,0,0,0,0,3,65,45,14,203,8,331,467,127,92,274,24,981,103,53,58,1466,2281,3962,3934,2406,1600,34746,3515,46209,106,1346
LGA11730,111,1326,991,21505,607,24528,0,3,0,445,12,470,68,4,9,88,0,171,10,0,0,7,0,17,279,84,39,118,7,525,1923,1129,875,13313,457,17707,89,5,35,0,14,139,51,11,10,97,0,177,259,109,76,1513,39,1989,33,20,3,45,3,103,27,11,6,11,0,53,37,4,5,24,3,79,300,238,156,4389,129,5212,102,66,12,308,9,496,4,0,0,0,0,8,12,7,5,16,0,39,0,0,0,0,0,3,46,15,10,46,0,122,61,41,15,36,10,167,111,73,39,19,7,247,52,16,10,29,3,102,20,4,7,13,0,48,452,338,204,3475,93,4566,17,11,0,11,0,41,36,3,10,19,0,70,24,10,4,30,0,72,14,3,0,5,0,24,8,0,0,0,0,13,5,3,0,0,0,7,52,25,10,121,3,222,476,161,144,401,29,1210,54,54,53,1316,1907,3384,3928,2300,1680,37151,3083,48148,150,1240
LGA11750,7,84,95,2245,59,2491,0,3,0,115,0,119,12,0,0,9,0,16,9,0,0,3,0,12,19,5,9,19,0,46,114,47,76,1336,74,1647,29,0,3,0,0,33,0,0,0,16,0,12,12,12,6,140,10,181,0,0,0,3,0,5,3,0,0,0,0,3,0,0,0,3,0,3,31,20,18,413,16,497,13,5,0,26,0,48,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,25,6,3,3,0,32,13,8,7,0,0,30,8,0,0,8,0,20,3,0,7,0,0,9,37,19,19,269,10,355,0,0,0,0,0,0,6,0,0,0,0,8,0,4,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,29,0,37,60,13,8,23,3,109,10,3,4,156,351,526,335,148,159,3786,483,4915,11,76
LGA11800,235,2324,1681,25909,811,30964,3,11,7,345,15,378,191,32,30,112,9,373,71,27,3,20,3,123,525,187,75,210,14,1007,3900,2012,1382,16623,602,24516,142,8,49,7,10,216,120,24,16,184,7,357,608,174,119,1615,61,2579,95,51,19,76,6,238,81,9,9,28,7,134,554,56,68,29,19,720,639,395,243,5500,133,6913,400,167,51,605,29,1257,13,0,3,4,0,19,37,3,5,47,0,90,9,0,0,7,0,19,100,40,36,70,3,254,118,30,32,28,4,219,252,114,87,25,9,490,143,31,21,78,4,272,48,23,11,28,0,111,885,473,317,3946,100,5713,47,13,3,12,3,82,96,9,12,9,0,122,72,11,13,73,3,174,9,4,0,5,3,19,23,3,0,0,0,22,27,0,5,0,0,35,121,26,12,144,8,312,1382,348,218,496,49,2493,203,76,95,1486,2526,4380,9358,4098,2847,44556,4054,64913,235,2256
LGA12000,0,95,72,1891,41,2093,0,0,0,11,0,11,0,3,0,5,0,9,0,0,0,0,0,0,12,12,5,4,0,33,90,76,66,1210,23,1457,0,0,0,0,0,3,3,0,3,9,0,13,7,11,12,136,4,176,3,3,0,3,0,13,0,0,0,0,0,0,3,0,0,0,0,3,18,15,6,507,12,564,3,3,3,35,3,49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,12,6,0,4,9,0,19,7,3,3,11,0,21,0,0,0,0,0,0,23,25,11,257,4,322,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,11,33,13,9,24,0,77,7,0,3,137,84,231,209,156,128,3388,151,4032,3,64
LGA12150,3,37,32,2200,79,2359,0,0,0,52,0,58,8,0,4,5,0,18,0,0,0,0,0,0,3,3,0,10,0,19,59,30,25,1268,42,1428,0,0,0,0,0,0,0,0,6,5,0,10,20,4,4,96,3,132,9,0,0,0,0,13,0,0,0,0,0,3,3,0,0,0,0,7,12,9,3,348,13,381,14,7,0,19,0,42,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,3,8,0,3,0,0,8,8,0,0,0,0,11,3,0,0,4,0,14,0,0,0,0,0,4,8,11,10,244,4,274,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,12,16,5,3,20,0,40,3,4,0,186,120,314,158,79,60,3671,248,4212,0,20
LGA12350,20,306,224,5676,159,6383,0,0,0,77,9,90,23,3,3,19,0,41,17,8,6,6,0,39,51,20,18,22,0,108,350,263,211,3847,101,4773,16,0,0,0,0,20,12,3,8,31,0,51,79,38,12,255,17,397,23,6,3,22,0,54,8,0,0,0,0,7,3,8,0,10,0,21,68,55,21,1260,11,1421,38,20,8,91,0,158,4,0,0,0,0,4,3,0,0,3,0,7,0,0,0,0,0,0,33,10,9,25,3,71,15,0,5,15,0,31,27,16,13,9,0,57,17,4,0,13,0,29,5,0,0,3,0,11,122,66,47,789,20,1040,17,3,0,0,0,21,3,0,0,0,0,9,11,0,0,16,5,24,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,3,10,4,4,14,0,33,139,28,25,79,4,276,21,10,9,403,361,797,930,529,390,9979,644,12478,28,228
LGA12380,3747,3236,1932,19312,1132,29362,27,28,4,147,13,210,17647,87,185,158,488,18566,1845,107,36,174,42,2203,360,97,50,120,8,631,6019,2032,1272,11293,824,21439,3498,31,146,26,127,3830,288,28,21,121,15,478,799,160,108,855,40,1965,1929,255,91,360,43,2670,290,41,13,33,11,392,6457,51,46,30,89,6665,1164,501,288,4544,172,6670,3297,609,210,975,173,5260,1863,3,7,0,46,1926,18575,2176,706,1179,889,23519,185,4,7,18,3,216,2772,346,154,500,106,3868,1313,55,57,12,74,1506,408,119,88,39,37,691,809,68,45,88,23,1039,745,48,26,77,19,914,1111,439,283,2418,90,4338,724,46,23,39,19,851,138,9,18,3,11,184,911,32,31,45,24,1043,2406,5,25,4,60,2500,5998,293,189,103,257,6842,2780,10,30,7,105,2937,106,40,35,114,4,307,25263,913,480,635,976,28263,5143,395,224,1167,11336,18264,110110,8444,4634,34411,16527,174124,3816,3056
LGA12700,18,190,144,3691,98,4137,0,0,0,20,0,20,0,3,0,9,3,22,0,0,0,0,0,0,31,13,14,28,0,90,247,193,123,2630,67,3254,3,0,5,0,0,9,0,3,0,23,0,30,37,17,13,310,8,392,8,4,0,9,0,20,0,3,0,0,0,9,0,0,0,0,0,5,39,36,24,702,6,810,19,6,11,46,0,88,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,5,10,3,10,0,0,18,14,12,3,3,0,34,10,3,3,3,0,21,11,3,0,6,0,17,70,46,27,454,12,615,6,0,0,0,0,13,3,0,3,0,0,8,3,0,0,3,0,8,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,16,0,42,61,21,23,44,0,148,5,3,3,195,373,581,517,344,245,6420,537,8060,15,190
LGA12730,18,205,144,4033,108,4502,0,3,0,21,0,27,18,0,0,23,3,37,0,3,0,0,0,3,52,15,3,29,0,98,226,185,122,2685,80,3305,7,0,5,0,0,13,11,3,0,15,0,29,35,26,9,225,3,296,12,3,0,16,0,28,3,3,0,0,0,6,7,0,3,0,0,11,36,43,26,840,25,975,76,16,8,116,7,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,5,3,0,56,10,8,4,4,0,30,19,7,0,10,3,29,0,0,0,0,0,3,70,59,35,681,27,866,4,0,0,0,0,3,12,3,0,0,0,22,0,0,0,7,0,9,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,10,3,0,19,0,26,71,22,13,39,5,148,25,5,11,295,372,707,676,378,250,7232,575,9110,16,181
LGA12750,100,1287,876,13173,454,15881,0,8,6,392,22,423,66,12,3,69,8,157,161,15,5,34,13,226,348,65,54,160,5,632,2636,1106,812,8675,345,13567,55,0,13,4,5,69,67,11,15,96,4,203,513,110,71,798,26,1523,116,21,4,74,3,224,75,15,0,20,0,107,11,3,0,4,0,19,366,223,151,3182,96,4009,240,93,15,269,15,635,0,0,4,5,0,7,13,12,0,10,0,37,14,5,7,4,0,26,104,32,13,32,4,182,59,16,14,13,0,101,111,83,27,16,10,246,118,15,10,33,0,179,50,10,3,21,0,89,611,279,214,2180,74,3358,71,9,3,18,4,104,28,11,5,0,0,43,44,3,3,30,0,79,3,0,0,0,0,3,9,0,0,0,0,9,37,0,0,0,0,35,103,40,17,83,7,247,702,163,83,319,33,1305,124,42,29,696,1192,2086,5906,2257,1491,23301,2059,35013,127,1194
LGA12850,3398,2307,1360,12940,858,20862,16,13,4,118,8,164,22787,95,179,150,833,24044,3429,225,70,234,91,4049,341,57,39,75,8,514,5275,1395,863,6890,809,15232,2497,18,121,12,111,2770,302,22,16,69,10,416,1226,177,115,616,63,2192,1211,166,97,290,48,1816,407,24,6,25,3,460,1770,38,19,13,82,1926,735,307,189,2223,100,3562,9216,1482,465,2192,344,13705,118,0,3,3,8,132,3794,539,141,210,222,4910,1408,90,39,59,49,1654,2300,347,190,590,65,3494,587,19,41,25,52,728,257,69,39,31,26,414,1231,103,38,113,42,1524,846,66,20,40,40,1011,719,300,180,1302,52,2554,4489,186,85,143,152,5051,90,14,8,3,0,115,2933,68,79,41,111,3235,200,14,10,9,0,238,1247,56,36,21,41,1406,23735,96,159,134,1034,25160,68,27,14,66,3,174,37656,926,568,511,1422,41080,7682,244,250,951,8765,17890,131265,6495,3722,23720,14692,179892,3348,2076
LGA12870,20,267,207,5383,119,5990,0,0,0,11,0,11,22,0,0,23,3,50,11,3,0,7,0,18,82,27,13,23,4,146,467,244,202,3387,101,4404,25,3,7,0,3,34,3,8,0,28,0,46,64,30,15,396,4,509,9,3,0,6,0,16,11,3,0,3,3,19,4,0,0,3,0,13,74,59,21,1352,19,1525,48,23,4,86,3,168,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,20,3,3,3,0,25,12,0,0,0,0,15,24,5,6,4,0,42,33,0,3,17,0,52,7,3,3,3,0,17,128,50,33,950,6,1164,3,5,0,0,0,9,3,0,0,0,0,9,4,0,0,0,0,9,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,15,0,48,106,16,12,75,5,212,18,10,7,405,423,859,1044,493,349,9685,667,12236,17,244
LGA12900,17,167,132,4426,146,4883,0,0,0,43,0,47,14,0,0,23,0,34,5,0,0,3,0,6,20,14,7,26,0,68,152,130,114,3041,91,3528,15,0,5,0,0,25,8,0,0,38,0,47,19,11,10,306,4,348,13,4,0,11,0,26,4,3,0,10,0,14,11,0,0,0,0,11,34,26,8,1024,21,1114,39,13,0,55,0,103,0,0,0,0,0,0,0,0,0,13,0,14,5,0,0,0,0,7,6,0,0,0,0,6,3,3,0,5,0,8,12,10,5,6,0,35,10,0,0,19,0,32,3,0,0,0,0,3,53,39,26,555,7,680,5,0,0,4,0,10,7,0,0,0,0,17,6,0,0,5,0,11,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,9,5,0,5,25,0,39,35,14,6,50,9,113,14,8,8,327,338,695,428,277,218,7857,585,9361,6,140
