LGA_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
LGA10850,0,0,0,0,0,0,3,6,3,4,15,16,20,30,35,38,51,23,16,5,3,0,43,297,12,12,23,24,58,57,159,127,322,248,234,146,161,93,226,1901
LGA10900,0,0,0,0,0,0,14,24,31,22,54,93,159,288,326,335,651,399,272,130,77,35,325,3182,117,74,112,127,452,552,1324,1220,3309,2625,2636,2051,2214,1704,2069,20584
LGA10950,0,0,0,0,0,0,0,0,3,0,6,5,17,4,20,11,14,7,4,0,4,3,12,107,10,0,6,7,29,18,62,41,73,69,71,47,48,32,118,646
LGA11100,0,0,0,0,0,0,21,34,38,19,41,40,92,148,167,174,359,247,154,83,86,36,218,1898,175,55,75,77,307,326,698,564,1634,1413,1399,1065,1408,1137,1221,11561
LGA11150,0,0,0,0,0,0,6,5,0,0,5,9,5,10,13,22,20,14,4,3,0,0,29,130,6,5,8,7,10,11,37,39,78,61,56,47,42,15,120,550
LGA11200,0,0,0,0,0,0,3,4,3,6,7,16,11,17,13,16,12,4,3,0,0,0,27,137,9,12,10,14,29,17,37,39,44,35,27,17,9,8,71,380
LGA11250,0,0,0,0,0,0,20,24,7,15,32,61,87,141,116,135,168,83,42,10,9,7,140,1059,24,22,46,64,225,216,514,366,716,483,414,296,277,173,611,4460
LGA11300,0,0,0,0,0,0,10,8,66,23,39,44,70,74,107,111,268,156,100,60,67,24,96,1310,282,92,112,75,261,232,545,452,1263,999,942,646,779,961,800,8436
LGA11350,0,0,0,0,0,0,10,16,22,16,44,69,124,224,174,170,305,99,60,21,11,7,224,1566,66,40,78,85,268,351,606,537,1462,942,745,436,389,396,1034,7424
LGA11400,0,0,0,0,0,0,5,5,5,4,14,13,24,57,55,37,81,39,20,5,4,0,59,420,37,24,23,25,96,108,304,211,582,429,418,266,290,218,459,3493
LGA11450,0,0,0,0,0,0,12,16,43,15,42,80,132,208,249,295,599,421,282,138,120,48,302,2986,184,58,92,100,370,383,1015,872,2574,2800,3317,2602,2859,1871,1981,21095
LGA11500,3,3,0,0,0,0,100,126,151,61,233,339,612,898,999,918,1718,980,575,281,207,95,1020,9087,507,177,396,462,1346,1548,3072,2704,7033,5980,5437,3383,3167,1769,4157,41127
LGA11520,0,0,0,0,0,3,12,20,99,28,65,78,83,145,172,254,524,396,351,159,197,96,304,2968,454,142,149,128,462,409,1018,904,2535,2179,2671,1999,3275,4545,2249,23113
LGA11570,10,9,3,3,0,0,147,198,516,181,615,548,952,1433,1567,1529,2956,1770,1078,564,455,230,1605,15988,1885,649,1282,1043,3533,3616,7401,6193,14528,10546,9273,5837,6412,4813,8943,85943
LGA11600,0,0,0,0,0,0,0,0,0,0,3,4,9,13,10,7,18,5,4,0,3,0,14,89,6,4,9,3,23,16,51,42,116,99,87,39,36,28,107,676
LGA11650,17,6,0,0,0,0,129,177,236,107,369,560,966,1781,1802,1984,3369,1879,1019,386,311,118,1981,16863,753,413,653,743,2632,2871,7910,6096,14837,11471,10489,6881,6767,4544,9621,86671
LGA11700,0,0,0,0,0,0,0,0,3,0,7,7,16,7,10,13,14,3,3,0,0,0,18,107,8,7,8,10,25,15,30,37,65,32,28,8,14,11,70,362
LGA11720,0,0,0,0,0,0,23,34,38,20,85,151,248,399,438,344,510,274,117,36,30,14,355,3057,116,63,151,189,562,628,1524,1026,2427,1884,1605,991,909,602,1512,14185
LGA11730,6,0,0,0,0,0,20,33,31,22,83,121,180,353,346,340,409,170,68,24,22,8,281,2449,114,101,145,166,676,659,1942,1312,2678,1579,1098,605,487,264,1511,13348
LGA11750,0,0,0,0,0,0,4,6,6,0,3,8,9,12,22,15,23,16,10,10,0,0,27,172,10,12,8,15,36,34,88,59,122,115,149,106,117,90,141,1106
LGA11800,3,0,0,0,0,0,26,40,47,30,83,139,238,442,501,496,739,296,153,45,27,18,432,3699,174,79,148,178,730,765,2087,1640,3802,2504,2012,1183,1059,625,2073,19065
LGA12000,0,0,0,0,0,0,4,4,3,0,0,4,8,16,23,18,31,12,9,0,0,3,12,139,5,3,8,7,46,38,119,71,206,138,114,66,80,49,143,1084
LGA12150,0,0,0,0,0,0,5,12,3,3,9,12,22,36,20,26,31,9,12,3,8,3,37,224,14,7,7,10,44,52,98,60,161,94,81,46,44,24,139,888
LGA12350,0,0,0,0,0,0,3,3,8,3,23,28,48,76,70,78,89,31,14,3,3,4,53,541,22,15,47,49,137,134,403,279,682,376,320,155,146,91,365,3223
LGA12380,9,3,0,0,0,0,88,111,292,89,326,323,506,638,793,836,1633,994,614,294,228,116,916,8590,1315,379,733,653,2044,2037,4156,3810,9047,6657,5917,3585,3658,2397,5396,51784
LGA12700,0,0,0,0,0,0,3,3,4,0,12,15,21,40,42,37,56,29,13,5,6,3,50,347,23,15,26,24,91,89,238,150,442,316,283,160,178,116,297,2447
LGA12730,0,0,0,0,0,0,4,4,9,7,12,18,25,45,44,37,84,31,12,0,3,3,61,369,21,16,23,24,87,74,204,139,431,284,252,132,123,89,283,2181
LGA12750,0,0,0,0,0,0,12,14,20,7,51,72,119,189,206,236,309,122,54,18,14,12,225,1638,82,63,114,100,449,409,1372,963,2316,1187,842,453,344,224,1150,10071
LGA12850,7,4,3,0,3,3,123,165,413,138,604,506,776,1002,1170,1234,2129,1243,744,332,294,145,1138,11870,1257,418,1017,796,2498,2346,5159,3972,8771,6050,4796,2979,2996,1815,5306,50166
LGA12870,0,0,0,0,0,0,0,6,4,3,16,19,38,53,57,55,77,38,21,8,3,3,52,448,24,25,20,30,148,109,382,265,626,397,340,195,147,73,437,3228
LGA12900,0,0,0,0,0,0,7,12,3,4,19,17,31,49,43,55,81,29,13,0,3,7,54,408,23,13,31,23,88,88,256,192,485,283,251,141,139,80,292,2375
LGA12930,4,0,0,0,0,0,44,63,225,64,149,159,235,418,469,554,1073,700,516,275,213,138,589,5778,949,310,379,335,1041,1056,2447,2082,5630,4653,4666,3248,3836,3967,3858,38445
LGA12950,0,0,0,0,0,0,9,9,6,0,6,7,20,21,27,27,35,10,5,0,3,0,28,203,12,11,6,7,53,42,135,87,219,110,94,56,60,30,154,1087
LGA13010,0,0,0,0,0,0,4,3,8,4,23,17,38,47,53,51,62,28,5,5,0,0,44,375,24,25,42,24,135,99,301,193,472,247,154,101,68,40,255,2179
LGA13310,3,0,0,0,0,0,19,19,14,18,36,52,101,151,162,162,280,125,68,28,21,13,154,1387,56,53,58,81,266,253,651,554,1318,950,924,596,551,326,856,7505
LGA13340,0,0,0,0,0,0,3,5,0,3,6,17,30,48,45,49,47,31,13,8,3,0,52,349,19,22,23,20,91,93,240,213,512,361,304,198,142,115,342,2704
LGA13450,3,0,0,0,0,0,18,22,6,3,19,30,52,119,91,113,177,104,44,25,16,11,112,934,83,36,43,44,209,210,452,410,1120,902,766,463,449,280,777,6240
LGA13510,0,0,0,0,0,0,3,9,8,4,17,21,27,58,55,58,73,28,15,9,8,3,54,440,25,15,37,34,105,111,363,240,558,357,295,153,136,98,390,2924
LGA13550,0,0,0,0,0,0,9,11,8,7,16,25,38,74,59,56,88,45,21,5,5,4,73,526,26,14,27,29,92,116,285,198,518,404,356,249,259,184,386,3136
LGA13660,0,0,0,0,0,0,0,0,3,3,11,13,16,21,24,23,32,14,0,3,0,0,23,185,26,24,15,14,79,52,178,105,282,146,143,49,45,29,170,1352
LGA13800,0,4,0,0,0,0,14,23,42,24,65,87,161,241,266,277,568,334,223,109,94,33,302,2824,141,80,105,121,401,408,929,866,2479,2382,2330,1726,1839,1308,1835,16947
LGA13850,0,0,0,0,0,0,3,3,0,0,7,9,9,15,13,18,10,8,6,3,4,0,19,130,6,10,13,12,28,27,66,49,135,90,80,35,33,27,117,728
LGA13910,0,0,0,0,0,0,13,21,21,5,28,61,70,107,102,93,133,52,29,3,8,6,108,816,49,29,53,74,219,202,569,381,922,647,425,239,207,148,582,4741
LGA14000,3,0,3,0,0,0,17,26,114,38,97,76,152,229,266,302,862,660,470,259,263,155,528,4486,531,220,250,154,637,572,1526,1465,4446,4028,4606,3720,5457,7158,4102,38878
LGA14100,0,0,0,0,0,0,6,6,16,0,10,6,11,8,33,28,50,40,34,23,41,27,47,378,50,14,18,12,50,26,110,89,242,228,272,238,450,1170,442,3416
LGA14170,3,7,3,3,0,0,43,60,132,52,157,144,284,373,431,487,1112,786,622,283,364,220,661,6109,462,204,274,207,793,718,1765,1518,4484,4035,4876,3942,6382,9563,4157,43381
LGA14200,0,0,0,0,0,0,6,14,13,7,39,54,87,118,103,90,119,47,19,6,5,0,101,811,55,37,58,68,230,207,524,383,824,521,374,207,160,105,480,4241
LGA14300,0,0,0,0,0,0,0,0,3,3,9,9,17,32,35,29,44,18,8,7,4,0,36,243,8,9,10,13,53,47,147,92,251,169,158,97,87,47,149,1344
LGA14350,0,0,0,0,0,0,21,31,14,12,50,78,109,253,205,218,292,118,46,14,18,0,230,1661,54,54,91,105,341,425,1068,731,1453,880,592,297,216,125,866,7304
LGA14400,0,0,0,0,0,0,3,5,7,3,18,21,31,68,69,77,130,95,47,23,12,10,86,694,39,30,35,32,152,162,386,376,969,757,678,515,635,531,682,5960
LGA14500,3,0,0,0,0,0,4,11,180,52,88,53,73,145,154,210,528,434,337,183,280,220,382,3323,598,200,190,108,364,405,785,890,2748,2487,2813,2320,4481,10049,3872,32308
LGA14550,0,0,0,0,0,0,3,3,10,5,18,18,57,58,53,54,60,21,5,6,8,0,52,424,25,21,40,30,146,116,337,228,481,238,173,89,67,58,246,2283
LGA14600,3,0,0,0,0,0,3,7,5,3,10,17,19,41,36,32,50,20,11,0,0,0,36,273,24,13,22,22,55,70,160,97,297,187,173,75,62,56,212,1521
LGA14650,7,8,3,0,0,0,69,108,96,60,207,301,617,1002,1102,1117,2004,1014,575,216,136,81,1029,9566,349,238,384,428,1645,1670,5085,3674,9262,6867,6626,4701,4588,3235,5621,54369
LGA14700,0,0,0,0,0,0,4,4,34,8,15,8,19,47,52,74,169,123,122,60,93,66,112,1010,100,36,30,24,80,108,201,239,773,781,1046,832,1451,2821,974,9492
LGA14750,0,0,0,0,0,0,7,10,7,5,10,32,32,46,59,65,60,38,19,6,7,0,53,443,26,16,23,37,100,82,254,199,498,380,353,195,151,84,298,2690
LGA14850,0,0,0,0,0,0,13,28,19,24,63,85,187,315,306,291,443,211,99,29,23,6,269,2366,72,57,111,106,414,501,1061,883,2201,1575,1178,620,534,321,1103,10745
LGA14870,0,0,0,0,0,0,14,23,13,10,36,57,77,130,148,112,147,70,52,19,7,3,123,1003,45,43,66,72,219,227,598,412,848,559,531,318,338,267,608,5144
LGA14900,11,0,4,0,0,0,124,147,227,84,292,369,544,786,911,998,1768,1055,634,317,292,132,1025,9438,808,352,563,583,1728,1722,3581,3190,7944,6666,6373,4436,4601,3041,5341,50943
LGA14920,0,0,0,0,0,0,5,7,5,7,7,30,34,43,51,41,58,24,3,9,3,4,46,356,22,9,26,33,84,73,223,146,396,233,181,117,90,70,258,1958
LGA14950,0,0,0,0,0,0,0,0,3,0,3,4,13,16,4,18,21,8,6,0,0,0,19,107,4,6,5,3,32,32,70,60,154,108,76,49,40,40,114,792
LGA15050,0,3,0,0,0,0,23,33,51,27,80,155,223,417,506,455,801,383,224,78,48,18,361,3840,140,93,131,201,608,692,1747,1335,3397,2842,2708,1871,1738,1253,2168,20925
LGA15240,0,0,0,0,0,0,35,61,44,39,160,210,348,567,596,605,712,303,120,32,25,18,554,4340,243,185,274,297,1308,1136,3782,2375,5070,2766,1842,1079,783,535,2831,24514
LGA15270,0,0,0,0,0,0,11,23,8,9,43,52,88,118,135,108,143,62,45,7,11,6,117,945,53,37,62,72,275,210,617,420,975,674,637,429,429,361,740,6002
LGA15300,0,0,0,0,0,0,18,23,16,13,39,42,53,69,84,67,94,54,21,10,12,0,108,692,42,31,44,51,112,103,240,181,497,405,364,201,186,147,477,3088
LGA15350,0,0,0,0,0,0,3,7,28,4,14,16,14,30,35,40,109,104,77,36,108,64,122,807,67,25,23,26,48,72,111,160,490,445,620,487,1080,2795,980,7442
LGA15520,0,0,0,0,0,0,9,11,3,3,7,16,27,33,33,45,70,23,11,5,3,0,44,332,48,22,25,24,139,105,341,223,605,389,330,202,143,102,383,3081
LGA15560,0,0,0,0,0,0,0,0,0,0,4,10,9,23,17,25,19,3,5,0,3,0,14,140,3,3,9,9,31,35,78,66,178,139,101,64,36,31,142,931
LGA15650,0,0,0,0,0,0,7,9,17,13,32,46,67,114,100,75,100,52,40,9,13,5,106,793,52,30,46,62,143,167,314,249,564,466,506,349,357,262,488,4055
LGA15700,0,0,0,0,0,0,12,20,11,3,36,53,84,138,153,132,159,57,19,4,12,0,139,1000,56,48,55,77,262,248,804,488,1025,536,394,201,153,91,572,5017
LGA15750,0,0,0,0,0,0,5,10,10,7,27,36,42,70,59,63,93,38,23,7,9,3,84,564,35,14,38,47,128,115,254,211,531,440,378,237,235,147,434,3242
LGA15800,0,0,0,0,0,0,3,8,4,0,9,17,27,35,38,35,36,11,8,0,3,0,26,249,13,4,8,19,66,66,133,100,288,169,162,82,69,40,192,1412
LGA15850,0,0,0,0,0,0,3,3,7,3,14,14,26,52,42,31,54,24,10,7,6,0,44,321,19,9,21,15,52,82,168,109,261,201,171,107,92,51,238,1605
LGA15900,3,3,0,0,0,0,42,60,98,43,194,250,403,691,778,804,1494,876,448,186,137,75,734,7198,305,135,316,316,1037,1155,2880,2311,5858,4797,4792,3551,3797,3050,3963,38254
LGA15950,0,0,0,0,0,0,3,6,42,21,26,25,40,67,77,80,266,224,238,87,230,148,197,1765,155,56,57,42,135,153,301,314,1169,1227,1911,1531,3056,5337,1706,17148
LGA15990,9,0,3,3,0,0,29,57,141,54,118,135,223,404,460,629,1514,1094,910,365,490,299,1054,7884,552,250,291,227,926,868,2185,2307,7193,6572,7688,6215,9400,14535,7786,66992
LGA16100,0,0,0,0,0,0,3,3,3,3,10,13,14,15,20,26,31,19,11,3,3,0,38,206,15,11,16,17,49,30,127,67,250,198,159,86,81,60,181,1335
LGA16150,0,0,0,0,0,0,28,29,27,18,52,73,110,237,243,203,355,160,119,39,36,4,231,1919,82,56,84,86,314,372,803,606,1688,1333,1274,853,834,654,1073,10110
LGA16200,3,0,0,0,0,0,8,14,6,15,23,40,61,97,89,68,102,50,29,7,8,3,84,687,38,25,31,52,156,149,342,253,602,470,404,246,217,136,493,3625
LGA16260,11,3,3,0,3,4,40,74,292,107,253,210,363,535,609,614,1478,998,757,345,290,169,713,7727,1381,395,517,419,1402,1419,3030,2864,8432,7653,7994,5443,6699,5590,5154,58397
LGA16350,8,3,4,0,0,0,69,92,163,52,222,296,552,913,924,972,2079,1247,808,367,306,126,1031,10063,525,164,378,409,1266,1410,3147,2760,7858,7261,7572,5179,5170,3248,4931,51266
LGA16380,0,0,0,0,0,0,29,39,44,21,75,139,209,437,438,501,675,342,139,47,43,24,403,3534,161,98,153,182,772,842,2696,1930,4317,2575,2121,1306,1137,775,2230,21293
LGA16400,3,3,0,0,0,0,17,31,51,24,87,130,203,346,356,365,627,327,131,61,51,21,305,3095,165,97,159,170,670,640,1908,1402,3478,2401,2097,1365,1185,818,2130,18702
LGA16490,0,0,0,0,0,0,10,21,29,12,46,69,88,136,151,173,354,306,237,89,89,41,232,2044,97,44,87,92,267,259,596,580,1659,1651,1855,1497,2204,2097,1595,14577
LGA16550,0,4,0,0,0,0,30,42,98,45,102,105,184,283,302,369,825,637,488,203,266,151,532,4579,493,149,228,162,592,579,1218,1177,3185,2955,3526,2864,4383,6449,3532,31489
LGA16610,0,0,0,0,0,0,10,15,15,0,31,62,102,137,169,165,202,82,34,12,3,4,149,1178,53,16,52,69,281,260,789,522,1270,761,531,289,195,83,621,5807
LGA16650,3,0,0,0,0,0,26,36,126,46,122,102,189,287,337,421,829,585,369,184,165,69,443,4267,534,200,276,238,806,747,1872,1655,4269,3554,3566,2293,2693,2126,2814,27645
LGA16700,3,0,0,0,0,0,16,27,145,39,86,85,132,215,259,324,727,540,378,197,192,123,352,3804,683,221,243,178,647,614,1426,1321,3734,3472,3745,2712,3778,4209,2789,29784
LGA16900,3,3,0,0,0,0,18,24,35,25,103,137,229,401,412,441,699,380,209,92,56,31,362,3614,146,84,160,174,589,672,1833,1244,3088,2543,2320,1550,1446,873,1991,18731
LGA16950,6,3,0,0,0,0,39,69,60,30,140,205,345,531,616,600,817,317,182,52,32,38,575,4531,257,160,268,292,1195,1060,3572,2340,5330,3115,2443,1438,1219,795,3073,26568
LGA17000,0,0,0,0,0,0,0,6,14,3,27,44,58,113,91,87,150,85,54,21,18,12,95,878,39,22,40,49,165,186,356,283,776,686,809,568,623,590,697,5885
LGA17040,3,0,0,0,0,0,3,7,13,4,24,31,43,67,78,58,145,63,44,20,15,6,84,691,33,30,53,42,153,143,428,301,886,682,617,384,362,222,625,4971
LGA17080,0,0,0,0,0,0,6,14,12,8,22,34,48,76,49,49,98,48,18,11,6,5,82,570,42,23,43,49,140,135,352,241,667,478,462,246,198,104,534,3716
LGA17100,0,0,0,0,0,0,9,10,71,21,46,49,54,84,97,95,246,165,127,61,68,50,136,1359,267,69,99,86,213,240,514,472,1374,1188,1183,761,927,1232,1015,9628
LGA17150,4,3,0,0,0,0,27,47,120,60,131,163,269,441,540,696,1542,1133,829,437,393,247,957,7968,471,236,292,253,1000,971,2577,2501,7100,6343,7495,6358,8496,9092,6353,59534
LGA17200,0,0,0,0,0,0,25,40,151,44,153,135,221,276,293,351,628,483,361,119,279,159,416,4071,790,183,306,252,691,671,1319,1261,3569,3513,4517,3657,6051,8678,3775,39227
LGA17310,0,0,0,0,0,0,30,33,26,18,75,127,199,377,386,343,547,269,114,41,30,26,336,2912,106,58,129,155,524,599,1457,1106,2776,2007,1804,1058,944,585,1832,15144
LGA17350,0,0,0,0,0,0,3,3,4,0,10,11,18,25,32,36,41,17,9,0,3,3,28,238,15,7,18,11,60,51,196,124,338,229,167,82,90,46,184,1607
LGA17400,0,0,0,0,0,0,3,4,5,4,14,18,25,33,44,34,43,15,9,3,3,0,26,280,14,19,22,28,124,92,262,148,339,167,107,48,37,35,229,1682
LGA17420,0,3,0,0,0,0,26,36,122,48,80,79,144,203,255,317,751,622,515,240,277,197,474,4327,675,237,246,155,657,619,1539,1552,4564,4239,5212,4241,6632,8274,4490,43334
LGA17550,3,0,0,0,0,0,39,54,52,32,94,151,293,524,539,533,949,440,194,62,42,19,533,4462,201,140,190,204,891,968,2797,1967,4744,3100,2517,1477,1245,808,2715,23978
LGA17620,0,0,0,0,0,0,3,7,4,5,25,16,44,55,74,57,93,38,23,7,3,3,63,515,37,20,43,25,111,103,318,231,596,432,443,284,284,211,429,3560
LGA17640,0,0,0,0,0,0,0,4,5,0,8,12,17,26,28,21,45,30,8,3,4,6,27,242,20,6,22,14,81,54,180,148,351,276,220,148,153,94,253,2028
LGA17650,0,0,0,0,0,0,0,3,3,0,18,9,11,21,26,37,36,20,10,0,0,0,41,234,14,10,26,15,72,54,177,132,307,221,176,85,84,46,196,1618
LGA17750,3,3,0,0,0,0,38,46,22,15,77,105,186,323,296,320,557,305,131,54,47,19,324,2783,105,65,114,131,459,493,1106,972,2599,2205,2034,1358,1282,814,1787,15524
LGA17850,0,0,0,0,0,0,0,0,0,0,4,3,5,13,13,15,19,8,0,0,0,3,14,95,10,10,14,3,28,29,81,60,153,111,75,35,42,41,117,815
LGA17900,0,0,0,0,0,0,12,12,3,3,19,27,34,45,38,41,57,10,12,0,9,0,63,365,27,16,33,34,88,78,150,122,236,120,101,62,45,33,211,1354
LGA17950,0,0,0,0,0,0,3,3,0,0,8,3,11,12,11,9,25,8,3,0,0,3,20,109,8,3,12,3,29,18,65,45,114,82,83,44,30,30,116,672
LGA18020,0,0,0,0,0,0,4,8,3,4,14,23,36,52,65,47,44,20,17,0,6,0,58,386,23,27,28,33,144,105,332,214,435,227,208,99,80,52,338,2334
LGA18050,0,0,0,0,0,0,9,16,42,14,20,33,53,90,104,139,316,231,171,67,157,86,223,1749,116,51,57,49,176,192,394,434,1293,1262,1556,1257,2297,4299,1822,15264
LGA18100,0,0,0,0,0,0,0,0,3,0,4,7,15,10,14,17,28,3,3,0,3,0,7,113,7,5,13,10,46,33,130,78,202,92,71,49,40,43,100,939
LGA18200,0,0,0,0,0,0,4,9,5,3,9,21,28,31,24,27,38,17,8,3,0,4,43,259,17,14,21,27,77,65,172,126,336,176,176,93,102,66,246,1721
LGA18230,0,0,0,0,0,0,22,32,20,14,76,111,178,288,283,303,495,197,125,40,32,12,311,2477,83,44,121,136,417,443,1050,820,2168,1636,1422,990,919,559,1603,12409
LGA18250,3,0,0,0,0,0,7,11,160,35,70,60,72,117,114,152,376,310,278,84,189,125,253,2395,484,118,146,103,313,291,611,609,1741,1600,2011,1416,2629,5190,2156,19419
LGA18350,0,0,0,0,0,0,6,13,26,18,38,55,98,149,165,211,371,196,128,43,40,17,241,1801,123,79,93,83,369,335,983,855,2235,1690,1544,950,1027,949,1607,12935
LGA18400,0,0,0,0,0,0,11,20,19,13,31,49,98,159,159,148,303,196,132,60,39,25,225,1654,87,40,64,67,324,297,780,610,1705,1655,1860,1360,1521,1164,1505,13038
LGA18450,8,3,0,0,0,0,56,91,136,74,232,293,566,899,1020,982,1782,1029,649,258,190,101,1074,9276,520,307,434,412,1701,1645,4489,3167,7943,6294,6365,4649,4949,3890,5515,52289
LGA18500,0,0,3,0,0,0,6,12,54,20,21,29,47,63,52,90,222,171,173,64,191,131,229,1555,147,53,43,38,120,102,200,274,835,770,1042,873,2009,4880,1690,13079
LGA18710,0,0,0,0,0,0,0,3,4,4,15,13,17,44,45,34,83,60,49,14,16,8,57,474,21,21,23,29,68,87,207,192,570,478,548,428,552,653,483,4353
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,3,17,10,0,0,0,3,5,18,15,49,25,26,19,14,14,39,240
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,0,0,0,5,8,3,6,15,19,32,58,55,57,76,30,16,5,3,0,54,423,22,33,30,30,133,126,352,278,640,429,315,189,154,89,406,3213
LGA20260,0,0,0,0,0,0,5,5,0,0,8,19,36,50,60,52,85,28,23,5,8,0,54,432,16,12,33,23,125,114,328,254,558,329,262,157,143,76,357,2783
LGA20570,0,0,0,0,0,0,40,51,57,17,117,196,393,603,641,583,872,441,189,65,57,30,547,4817,192,102,209,261,853,978,2355,1850,4467,3493,3055,1818,1659,1210,2599,25095
LGA20660,3,0,0,0,0,0,30,40,88,51,117,138,226,330,419,462,984,654,409,165,159,87,639,4932,347,160,220,208,688,661,1804,1635,4433,3889,4262,3227,3786,3632,3407,32358
LGA20740,0,0,0,0,0,0,17,17,17,14,39,79,127,193,196,162,242,94,34,10,10,5,199,1411,86,52,89,109,415,389,1065,754,1760,1063,719,382,341,218,1027,8477
LGA20830,3,0,0,0,0,0,8,16,28,22,73,80,119,218,224,225,388,199,86,31,12,14,226,1939,136,84,134,112,455,413,1182,961,2352,1784,1474,934,759,589,1437,12795
LGA20910,0,0,0,0,0,0,16,17,106,24,70,74,128,195,203,259,527,389,313,107,204,144,416,3151,270,100,121,105,383,383,845,811,2400,2073,2541,2052,3576,6793,3214,25671
