SA3_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
10901,179,88,46,11,324,192,71,37,22,329,280,130,32,20,459,126,81,29,12,247,66,32,7,0,104,25,17,4,0,46,17,11,3,0,36,7,9,0,0,19,99,61,29,18,204,38,19,7,8,66,1457,751,291,120,2615
10902,32,10,0,3,49,46,9,7,0,57,45,8,10,3,60,17,12,3,3,30,13,7,0,0,16,0,5,0,0,7,6,0,0,0,5,4,0,0,0,3,28,11,14,3,53,15,7,3,3,24,276,122,55,26,474
10903,85,49,24,15,168,110,40,10,8,169,165,84,28,12,283,63,40,10,0,112,31,21,4,0,58,17,3,0,0,17,8,0,4,0,16,3,0,0,0,3,75,46,26,11,152,29,11,3,3,53,836,403,162,56,1456
11001,106,53,18,10,187,112,36,21,19,185,163,86,20,17,280,94,40,11,3,148,28,24,3,3,61,12,11,4,0,27,4,7,5,0,19,7,0,0,0,9,63,39,24,7,125,29,13,3,3,52,864,401,157,79,1500
11002,123,49,41,17,225,131,41,24,15,213,174,59,20,19,269,59,28,14,6,103,25,8,3,0,35,7,0,0,0,17,3,0,0,0,8,0,0,0,0,3,66,36,22,18,148,36,9,9,4,62,950,449,204,115,1717
11003,65,46,21,11,141,66,33,14,9,117,97,51,15,13,176,57,23,5,0,88,29,6,0,0,41,11,4,0,0,22,9,6,4,0,18,3,0,0,0,3,57,29,14,18,115,22,22,15,8,64,615,339,162,89,1199
11004,259,125,77,35,498,271,101,44,39,454,427,194,56,27,702,199,90,43,16,347,84,43,8,3,146,32,14,7,0,48,19,6,10,3,43,15,11,0,3,32,151,105,48,37,348,69,31,9,9,122,2106,1064,455,235,3864
11101,393,187,67,33,670,438,156,47,24,666,787,318,113,40,1251,383,203,58,18,662,242,128,35,5,411,72,49,13,4,136,46,39,11,3,93,29,14,3,0,46,265,163,67,16,507,58,18,7,0,85,3419,1705,553,195,5875
11102,232,107,54,22,418,248,124,54,20,446,431,212,75,28,743,194,108,26,8,340,98,50,10,3,159,39,28,5,0,76,17,16,4,0,40,15,9,3,3,28,162,98,51,23,327,50,28,5,9,90,2000,1086,378,146,3609
11103,509,216,88,36,843,537,198,75,38,843,1003,389,138,41,1572,548,283,69,18,916,274,151,41,5,463,115,61,12,5,195,65,66,18,0,146,45,28,8,0,80,334,203,78,36,651,81,35,9,7,129,4559,2123,680,249,7615
11201,273,141,39,20,472,269,110,27,14,426,504,204,40,18,761,185,85,12,7,290,94,47,6,0,153,30,16,3,0,55,26,11,7,0,43,16,4,4,0,22,182,134,42,16,378,56,17,11,0,87,2294,1055,253,90,3695
11202,243,130,78,36,493,296,115,33,38,472,393,177,58,26,654,173,91,25,10,294,77,40,12,11,137,18,10,6,5,46,18,7,9,4,29,5,5,3,0,14,169,104,41,22,335,46,34,7,11,100,2062,1089,379,198,3729
11203,314,132,62,30,539,352,115,56,14,533,594,257,78,27,949,246,136,31,19,440,100,67,18,10,194,35,23,4,3,62,12,25,5,0,42,13,3,4,0,19,203,148,47,35,435,66,16,10,3,93,2622,1253,426,168,4462
11301,110,46,42,11,205,147,46,33,14,246,191,66,33,13,307,93,56,21,3,170,44,26,9,3,84,18,16,6,0,35,12,11,3,0,29,6,8,0,0,16,70,45,19,17,151,30,21,8,8,68,997,492,236,104,1831
11302,29,7,10,3,49,33,6,3,6,49,64,19,8,3,98,34,13,6,0,48,16,3,0,0,18,3,3,0,0,11,0,4,0,0,6,3,0,0,0,5,32,20,9,5,72,7,0,0,4,13,332,141,64,32,566
11303,226,114,62,43,439,280,121,48,30,472,452,201,83,31,767,230,106,42,13,392,106,44,18,6,173,43,13,8,3,68,23,18,16,5,66,16,6,0,0,26,148,103,59,36,347,78,28,15,12,125,2149,1104,471,223,3950
11401,332,168,80,28,614,371,134,65,28,600,502,224,55,32,817,178,103,26,10,317,112,47,21,4,182,30,19,4,0,52,10,12,0,3,32,22,11,3,0,38,204,160,62,27,449,62,38,13,8,129,2535,1317,467,199,4527
11402,88,46,22,9,165,125,58,16,8,211,223,96,34,17,371,114,56,18,10,196,70,43,12,3,128,17,16,6,7,43,24,20,0,0,40,11,6,0,0,17,80,85,32,12,203,27,7,0,0,35,989,546,186,86,1801
11501,127,78,16,3,229,155,89,15,7,269,398,200,63,11,671,340,183,44,8,577,226,182,40,8,458,137,95,20,5,254,129,117,33,11,293,74,88,18,6,196,163,150,64,11,392,26,19,0,0,46,2128,1406,373,91,4001
11502,29,19,4,0,50,28,20,7,3,58,82,45,12,0,133,51,33,10,0,94,44,35,9,3,87,26,10,3,0,41,16,17,4,5,44,15,14,5,4,40,38,36,6,3,81,6,3,3,0,13,390,271,80,22,764
11503,27,17,7,5,64,37,23,5,8,64,100,44,20,3,170,62,32,10,3,95,38,23,7,3,72,14,3,0,3,19,10,17,3,0,33,7,0,3,0,7,32,32,10,3,74,13,3,0,0,14,438,227,76,32,772
11504,22,18,10,0,51,47,27,7,0,77,80,49,25,4,161,59,50,15,0,131,54,44,18,0,113,20,23,5,0,43,15,13,8,7,38,14,11,0,3,29,33,34,17,3,78,12,0,0,0,16,438,324,112,35,909
11601,321,144,79,40,578,383,140,58,33,610,781,311,96,54,1241,454,213,62,38,766,299,146,37,12,488,130,107,17,3,262,60,66,26,12,173,21,35,16,11,77,199,173,88,38,498,110,41,9,14,181,3552,1790,659,335,6334
11602,103,80,33,10,224,141,85,35,14,271,344,219,62,20,641,191,165,49,9,419,165,115,25,14,322,76,57,11,9,157,56,63,18,6,141,19,29,9,3,57,87,97,38,19,238,29,10,5,0,53,1477,1095,320,124,3021
11603,362,204,127,98,792,372,161,111,67,714,654,308,130,111,1205,324,204,72,51,648,194,137,44,30,407,64,57,41,14,179,41,43,32,13,135,18,21,16,12,64,194,141,96,92,526,98,56,26,26,201,3172,1910,973,662,6708
11701,110,40,10,3,167,128,40,6,0,174,233,103,23,3,359,151,71,16,0,247,88,51,12,0,154,42,28,6,0,83,37,40,4,0,86,23,9,9,0,36,90,49,28,5,170,28,13,6,3,49,1140,568,159,30,1898
11702,97,25,3,0,129,126,29,9,3,171,255,85,22,4,365,171,67,19,7,262,129,65,8,4,202,55,19,6,0,85,44,30,8,0,86,31,18,8,3,64,104,59,11,13,186,23,3,3,7,32,1282,508,108,47,1943
11703,235,50,16,0,304,282,66,10,3,363,487,138,31,10,664,370,103,16,4,502,268,90,12,0,376,101,18,9,3,132,189,75,10,0,270,98,51,4,0,150,234,99,31,9,370,61,14,7,0,79,3044,940,186,43,4215
11801,105,39,7,3,163,185,36,7,3,236,377,146,38,5,555,278,108,28,5,414,233,111,16,3,367,87,37,3,0,134,220,125,27,0,370,149,61,12,3,225,182,158,52,12,401,40,15,5,0,57,2179,993,218,39,3429
11802,208,67,17,9,302,252,89,15,6,369,551,215,40,10,825,450,144,33,10,637,327,137,28,0,488,131,62,12,0,203,132,110,18,0,266,78,59,13,3,151,237,163,40,13,450,59,17,3,0,80,2976,1269,273,63,4579
11901,438,181,120,54,792,491,166,85,43,781,825,378,178,82,1461,512,237,81,36,868,297,190,61,23,576,131,114,36,18,290,91,111,41,27,263,31,54,22,20,122,262,225,111,77,679,99,46,15,7,165,4276,2374,1036,521,8208
11902,331,129,74,21,555,400,101,46,16,565,731,276,85,41,1135,433,185,50,20,692,226,119,30,14,391,126,57,20,3,207,41,60,29,8,144,31,24,17,8,80,201,166,59,38,463,61,35,11,13,118,3470,1577,576,257,5875
11903,278,107,33,9,438,327,123,35,11,500,623,239,58,17,940,380,182,37,8,602,249,141,37,7,429,142,78,21,6,242,69,76,24,10,187,49,51,16,9,118,201,165,49,21,445,56,18,13,10,90,3108,1516,406,141,5171
11904,290,89,36,14,431,365,124,25,7,520,714,245,58,14,1036,468,202,43,15,722,299,139,35,9,475,127,82,22,3,233,90,83,22,12,202,49,35,14,0,98,223,160,64,15,463,47,19,8,0,76,3343,1488,404,133,5365
12001,112,39,14,3,169,171,61,10,3,245,351,132,31,5,511,262,116,13,0,393,228,95,24,0,345,108,50,7,0,159,109,62,24,0,194,56,34,7,0,96,134,103,32,7,270,21,11,0,0,26,1846,833,189,22,2894
12002,83,20,5,3,109,80,27,4,0,109,188,72,11,0,268,133,68,7,0,213,109,50,11,3,178,60,24,3,0,88,92,58,5,3,159,54,37,4,0,97,91,76,18,0,184,15,6,0,0,17,1101,502,86,12,1700
12003,308,89,16,5,417,327,103,17,13,456,748,245,43,6,1043,459,175,39,10,690,313,147,29,12,491,166,60,16,4,243,119,105,22,3,252,63,41,23,5,131,212,149,38,18,411,55,13,11,3,79,3592,1421,302,104,5420
12101,108,39,9,0,161,165,56,7,0,227,377,134,27,7,543,305,123,17,0,440,250,136,22,3,407,104,35,9,0,146,157,99,25,0,284,116,66,16,4,192,154,121,42,8,321,38,10,4,0,46,2186,999,223,24,3436
12102,122,53,13,3,189,142,45,14,3,208,398,144,35,4,578,246,124,38,8,416,163,95,15,5,277,72,40,19,4,128,49,52,20,3,123,27,16,7,0,58,125,109,35,8,282,20,12,0,0,30,1667,815,227,52,2764
12103,89,49,10,3,154,134,59,14,3,213,324,159,33,12,525,257,144,40,3,437,197,112,20,6,339,112,53,15,0,189,140,110,36,3,289,114,77,22,6,220,154,137,50,14,357,17,8,0,0,32,1884,1090,289,72,3330
12104,82,24,3,0,106,88,19,3,0,122,263,92,10,3,373,215,91,21,6,322,222,73,8,3,308,88,23,6,0,124,183,124,27,5,334,130,69,10,3,202,138,113,28,5,286,23,10,4,0,29,1644,732,129,26,2535
12201,29,21,3,3,55,54,22,3,0,78,124,51,15,0,193,88,32,3,0,133,74,54,7,0,135,34,20,3,0,48,44,50,13,3,110,28,25,3,0,54,69,53,17,0,135,13,8,0,0,20,653,371,82,10,1117
12202,57,27,9,3,97,72,56,11,3,139,229,120,35,7,390,159,76,19,3,266,137,63,18,4,214,54,18,14,3,94,56,55,13,3,128,37,15,8,3,70,117,92,43,5,265,25,12,0,0,40,1060,627,197,44,1931
12203,188,85,27,4,306,270,105,23,9,402,595,264,61,15,936,438,206,43,4,698,327,170,55,7,568,141,63,11,3,224,107,112,30,7,257,84,65,19,8,170,235,191,72,14,521,43,19,5,3,76,2859,1484,411,86,4839
12301,94,62,37,11,203,121,82,33,14,247,278,151,58,22,511,185,132,30,17,362,118,86,28,6,243,56,41,14,3,121,35,43,17,7,102,10,14,5,4,37,83,96,33,16,222,19,14,6,0,42,1215,870,332,111,2531
12302,502,271,150,84,998,532,214,111,57,918,1006,452,175,86,1718,563,282,96,44,981,313,195,55,19,580,142,101,30,15,286,77,85,32,12,213,40,25,22,12,95,320,269,111,93,791,131,63,17,21,237,4740,2665,1120,581,9107
12303,61,37,24,18,139,75,33,20,4,131,167,84,16,8,276,95,52,14,5,168,64,32,8,4,111,21,19,6,0,53,23,8,3,0,29,10,7,3,0,21,65,63,29,14,171,24,9,0,3,36,769,447,162,67,1444
12401,190,77,39,14,326,201,87,32,14,335,407,182,42,17,650,249,116,20,9,399,157,77,26,11,267,73,40,6,8,130,27,39,7,0,77,20,8,5,0,35,119,99,32,17,276,26,14,6,0,48,1883,928,264,107,3177
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,309,185,106,30,633,374,169,78,39,662,826,384,136,56,1406,528,258,61,33,870,318,177,56,13,562,126,85,20,10,236,88,85,25,8,206,45,35,10,12,98,229,194,93,28,550,74,25,8,3,111,3722,2088,767,294,6870
12404,107,59,29,11,197,113,65,16,10,205,230,94,30,11,371,126,72,22,3,219,85,41,12,3,139,42,31,7,0,84,21,14,10,5,48,17,4,0,0,19,73,66,16,8,158,20,9,6,0,36,1070,591,195,71,1937
12405,145,76,46,19,281,174,70,34,19,297,390,182,72,31,670,223,82,40,27,365,141,76,21,10,243,64,42,12,3,124,36,33,17,4,96,11,16,7,0,33,103,98,44,19,268,53,29,6,10,96,1685,906,364,183,3138
12501,170,64,35,8,277,207,51,22,18,300,355,149,47,15,574,202,92,22,10,325,113,66,23,8,206,62,29,9,3,108,32,33,12,12,85,13,19,4,3,40,104,90,29,27,245,43,18,3,3,67,1796,813,288,150,3046
12502,130,55,22,8,206,130,61,13,5,203,293,122,22,11,448,217,100,18,5,343,136,79,17,3,232,79,35,10,3,127,30,43,14,0,92,29,17,9,0,60,99,73,21,11,206,18,9,0,0,33,1509,790,199,60,2558
12503,353,149,99,53,654,388,142,67,54,649,794,336,113,72,1318,427,233,78,37,779,228,152,58,28,472,92,84,28,16,222,45,78,23,22,172,38,32,12,8,95,232,177,88,64,561,84,41,17,22,165,3554,1960,819,497,6836
12504,242,114,38,17,403,284,82,21,10,402,651,206,69,13,947,388,147,38,15,581,281,140,30,10,455,125,64,10,5,197,87,63,9,0,152,30,34,8,3,79,194,132,38,15,380,50,19,8,3,81,2965,1285,314,120,4686
12601,45,21,10,0,71,59,24,4,3,88,150,84,4,4,249,137,44,10,0,199,94,40,11,0,147,44,22,10,0,77,43,42,10,0,99,31,24,4,3,53,72,42,14,11,138,6,5,0,0,15,844,436,94,26,1401
12602,203,72,16,5,302,251,91,22,3,363,562,182,45,13,805,405,167,26,0,592,269,129,20,0,423,129,79,11,0,223,109,104,21,7,236,75,64,21,6,161,189,116,42,9,353,24,31,4,0,58,2766,1234,279,56,4334
12701,186,120,85,33,419,252,132,54,45,486,450,229,123,45,840,249,184,66,35,528,139,121,37,19,322,58,61,30,11,160,47,66,21,12,148,16,28,23,15,84,152,138,74,47,420,68,28,15,12,120,2105,1472,694,356,4622
12702,580,314,120,72,1093,658,323,112,56,1148,1097,625,191,79,1995,616,372,140,59,1186,316,261,93,46,714,128,128,43,17,321,86,106,59,33,288,36,52,26,22,139,307,276,137,74,802,131,79,32,15,252,5617,3576,1332,619,11145
12703,285,136,71,40,527,331,141,49,31,555,586,291,92,49,1011,318,176,68,20,580,187,111,43,15,354,78,63,26,8,175,59,69,22,9,162,24,30,10,4,67,183,128,62,37,400,80,32,11,8,126,2800,1552,606,279,5242
12801,185,68,23,7,281,218,97,27,5,351,547,212,48,12,814,389,157,47,8,592,266,116,24,5,413,125,60,21,3,208,81,71,25,3,176,73,40,19,0,136,212,153,59,22,439,42,25,6,3,80,2539,1198,340,72,4152
12802,148,83,22,8,262,207,97,24,6,339,438,220,49,19,729,300,175,47,6,534,269,117,28,8,420,122,89,14,3,225,96,95,30,6,216,39,52,19,4,113,167,149,51,20,391,29,22,5,3,58,2092,1284,339,99,3811
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,331,202,84,34,643,343,154,65,29,585,510,250,86,39,889,236,146,50,10,445,97,72,25,3,196,35,20,13,3,71,26,23,9,3,58,23,5,3,0,30,192,133,73,33,430,70,32,10,15,117,2621,1469,549,230,4870
20102,83,37,14,9,137,72,19,14,4,108,115,55,13,4,189,56,16,7,6,90,15,19,0,0,34,10,5,0,0,11,8,4,4,0,17,4,0,3,0,6,68,27,16,13,116,18,5,0,0,26,607,249,112,45,1007
20103,84,40,18,6,150,98,19,13,11,140,107,31,20,7,159,32,13,3,0,49,19,8,3,0,28,0,6,0,0,12,4,3,5,0,7,0,0,0,0,0,45,28,4,9,85,20,5,4,0,35,644,269,113,44,1067
20201,319,174,90,45,633,348,148,65,38,602,529,265,79,31,908,248,134,27,13,423,113,60,23,11,196,30,25,3,5,63,14,16,9,0,40,13,8,0,0,25,185,134,64,34,427,57,14,14,3,96,2603,1356,508,225,4696
20202,121,53,20,11,203,131,40,14,9,185,203,92,25,11,332,102,40,10,4,157,46,27,9,3,80,10,8,0,0,27,16,14,6,0,30,10,6,0,0,15,80,95,25,7,205,25,6,0,0,38,1032,508,140,67,1746
20203,32,8,3,3,46,23,10,3,0,39,40,22,8,3,70,20,6,0,3,30,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,0,0,10,24,15,3,4,47,10,0,3,0,9,225,95,37,16,377
20301,33,13,5,0,55,41,23,4,4,71,68,31,14,0,115,30,15,8,4,56,16,13,0,0,24,6,0,0,0,10,3,5,0,0,10,4,0,3,0,4,32,23,8,7,65,12,4,0,0,15,314,190,57,22,578
20302,553,269,112,50,985,572,295,98,45,1012,1041,510,157,54,1753,509,256,79,27,869,281,131,46,10,465,88,51,12,4,149,49,61,18,7,135,43,9,12,4,72,348,246,107,64,758,119,63,11,14,210,4973,2579,858,366,8780
20303,137,79,33,11,264,156,68,30,9,256,275,145,51,16,483,145,90,26,10,262,90,45,16,8,157,32,11,3,0,49,21,13,3,0,40,10,0,0,0,20,138,83,39,9,264,47,13,7,0,61,1335,738,256,81,2409
20401,120,76,20,9,228,158,56,15,15,246,235,87,29,5,362,125,46,16,9,195,45,25,7,6,86,14,14,4,0,39,19,7,3,0,29,3,7,0,0,10,96,89,41,7,233,40,13,3,3,53,1203,622,212,70,2104
20402,139,70,31,8,254,130,59,27,13,233,221,72,34,8,335,89,35,14,0,140,42,23,7,0,67,7,10,4,4,24,6,5,4,0,20,6,7,0,0,10,79,65,24,9,173,28,19,11,3,65,1092,538,202,76,1909
20403,184,103,39,23,347,208,88,38,20,349,346,162,55,22,584,145,77,21,5,250,88,36,7,3,131,21,15,3,3,43,14,3,0,3,21,5,5,3,0,12,126,90,45,17,279,35,17,9,4,56,1599,869,317,129,2908
