SA3_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
10304,14,38,35,132,239,176,16,0,0,10,710,24,3,8,14,34,64,165,164,13,3,0,24,516,14,0,3,4,9,15,52,84,15,0,0,3,205,17,0,0,7,8,18,54,108,15,6,4,7,246,10,0,3,3,5,7,10,41,20,3,3,4,116,20,0,19,29,33,58,81,105,14,7,3,18,387,12,3,25,27,14,25,13,4,0,0,0,33,156,351,78,477,683,612,1089,1420,1026,140,30,29,239,6164
10401,11,18,20,68,133,107,20,10,3,14,416,14,0,4,16,11,25,77,71,14,7,6,11,247,12,0,0,0,9,9,25,26,6,0,3,0,90,5,0,4,4,3,12,20,35,14,3,5,3,119,3,0,0,0,4,4,11,17,7,3,9,5,57,23,0,14,24,17,59,111,53,10,4,3,6,331,13,9,34,22,13,21,17,7,4,0,0,26,168,300,69,378,578,498,978,1361,614,125,38,66,177,5183
10402,14,21,25,90,253,422,100,16,10,22,1007,20,0,9,8,5,30,110,259,119,18,14,22,606,5,0,3,3,0,12,30,99,77,17,9,9,265,11,0,5,7,8,9,22,88,77,25,11,10,278,4,0,0,3,0,3,14,35,40,17,10,3,129,14,0,22,20,11,50,134,214,89,12,3,29,600,13,5,41,38,29,28,40,27,11,0,5,58,283,386,60,736,687,598,1265,2193,2574,739,140,96,329,9814
10501,35,48,36,40,24,6,0,0,3,25,360,87,18,39,60,31,32,25,6,0,0,0,7,299,48,7,7,23,6,15,15,8,0,0,0,6,128,50,9,23,32,13,19,12,3,0,0,0,7,165,21,5,8,15,3,4,3,3,4,0,0,7,78,54,7,30,49,24,23,17,3,0,0,4,26,245,24,12,25,23,11,6,6,0,0,0,0,17,137,810,229,526,768,352,267,142,34,5,3,25,216,3383
10502,19,26,23,32,23,13,0,0,0,8,205,29,3,13,20,14,33,17,9,0,0,0,6,152,11,3,13,5,3,10,17,3,0,0,0,3,71,21,6,3,5,3,12,15,10,0,0,0,4,90,15,0,3,0,0,7,8,5,0,0,0,6,45,19,4,17,16,16,22,22,13,0,0,0,7,142,17,0,23,23,8,0,3,0,0,0,0,15,91,304,95,293,478,280,267,177,63,5,9,18,104,2087
10503,28,72,87,135,202,110,23,0,5,13,740,42,12,18,34,49,83,123,117,19,3,0,20,525,26,0,10,16,11,22,53,69,18,0,3,4,236,13,3,6,13,3,22,35,74,13,5,7,3,204,13,3,0,3,3,10,10,34,7,3,3,3,96,33,3,41,61,45,74,106,76,14,0,0,30,482,28,10,54,47,11,22,19,9,0,0,0,42,247,597,134,870,1215,794,1137,1366,817,119,22,50,298,7412
10601,12,31,45,135,345,254,27,4,7,9,893,31,4,8,20,24,77,223,258,28,5,6,8,700,10,0,4,6,6,16,83,101,20,3,0,4,256,12,0,10,9,6,18,74,100,20,9,0,13,265,3,0,0,0,0,9,28,47,24,7,10,5,129,33,3,20,21,16,67,150,110,21,6,7,30,475,19,4,30,27,8,20,45,14,3,0,0,52,216,426,84,544,723,545,1378,2498,1523,185,50,41,289,8292
10602,9,18,28,96,281,502,49,8,4,5,1009,9,0,4,14,9,51,169,376,53,13,3,9,714,4,0,0,0,10,27,60,196,38,3,0,0,333,0,0,0,3,6,20,39,147,45,7,3,6,274,0,0,0,0,0,7,12,54,24,5,3,0,119,3,3,17,23,17,60,109,190,35,5,0,18,480,3,3,27,22,9,18,24,20,3,0,0,44,169,189,78,487,611,366,759,2033,2626,328,54,24,197,7754
10603,11,16,24,128,200,332,72,9,10,13,839,12,0,3,7,11,80,100,185,78,6,12,8,503,5,0,3,3,4,41,48,94,41,16,10,8,271,8,0,3,4,3,30,38,55,40,17,9,7,213,0,0,0,3,0,0,10,22,21,11,7,4,86,13,3,17,19,24,110,85,168,45,22,9,14,518,5,3,26,26,8,21,22,28,7,0,3,26,173,226,53,432,401,400,1105,1754,1852,479,111,86,196,7097
10604,14,32,41,111,148,35,3,0,3,22,456,33,3,13,21,28,59,98,44,9,0,0,10,320,20,0,0,3,11,20,30,31,13,0,0,8,136,7,0,8,11,10,18,51,28,5,0,0,6,150,6,0,0,4,3,12,27,11,7,0,0,0,79,28,4,13,22,23,50,46,26,3,0,0,14,229,12,3,14,26,8,8,15,3,0,0,3,17,107,354,49,246,585,394,839,864,234,49,4,17,170,3802
10701,8,14,16,50,144,305,87,24,3,12,682,16,0,7,9,11,15,83,186,80,16,3,12,426,4,0,3,0,0,4,31,85,41,16,3,0,196,7,0,5,4,3,5,21,55,34,20,6,4,170,6,0,0,4,4,0,5,16,23,11,4,6,81,14,0,26,38,23,35,76,128,38,9,8,19,415,14,3,52,29,12,12,29,23,7,0,0,45,230,295,105,946,710,452,633,1132,1814,493,132,46,252,7006
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,9,12,12,45,147,373,208,60,17,18,943,19,0,0,6,8,18,92,272,187,50,11,10,675,15,0,3,0,0,10,35,119,108,38,3,9,334,9,0,4,0,3,4,21,74,86,53,22,5,285,9,0,3,5,3,3,12,19,48,43,31,4,171,17,0,13,21,23,29,82,157,96,35,13,13,508,8,0,38,23,14,9,21,12,6,3,7,46,193,274,73,620,549,360,577,1212,2284,1138,375,140,241,7851
10704,19,34,26,104,330,652,337,107,53,26,1728,24,0,7,18,16,45,157,442,337,141,80,14,1279,16,3,3,13,6,12,85,218,186,83,49,11,686,25,0,11,5,4,18,48,141,188,110,73,7,645,4,0,0,3,4,3,20,47,81,79,96,6,337,18,5,48,47,19,55,148,287,215,96,90,43,1068,19,8,85,36,15,35,25,33,13,9,4,85,357,501,173,1565,976,667,1302,2654,3593,2191,876,590,458,15546
10801,3,12,17,37,70,86,18,0,4,7,257,12,0,3,3,8,9,32,58,16,0,0,8,143,3,0,0,3,0,3,13,23,11,0,0,5,67,5,0,0,0,3,5,14,18,11,3,3,3,63,3,0,0,0,0,0,6,6,3,0,3,0,32,12,3,9,13,18,30,46,52,17,0,0,4,189,14,0,22,13,8,20,17,13,0,0,0,22,129,187,28,211,395,318,560,734,611,121,8,33,114,3311
10802,14,33,29,49,113,93,14,6,4,16,387,16,3,10,10,17,37,70,51,5,3,3,10,235,7,0,0,6,9,12,26,22,7,3,0,8,89,4,0,0,7,4,10,23,18,14,4,0,7,91,5,0,3,4,0,7,3,7,5,0,4,5,44,12,0,10,34,28,57,76,53,9,0,0,9,292,12,0,31,40,32,36,27,8,0,0,3,24,210,286,44,469,722,556,934,1115,510,81,24,47,174,4970
10803,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,4,3,3,10,4,0,0,3,4,51
10804,4,22,13,53,208,345,130,24,12,19,856,18,0,3,7,18,29,85,275,111,25,12,12,591,7,0,0,3,9,13,23,105,70,22,6,3,264,10,0,7,0,5,8,24,63,56,34,14,5,228,3,0,0,3,0,0,9,19,41,28,16,4,118,14,3,19,25,23,40,86,188,72,29,6,19,519,18,3,32,25,18,38,44,32,7,3,3,37,265,324,70,562,559,483,999,1821,2305,715,197,89,237,8360
10805,10,20,25,66,166,88,18,0,0,9,441,12,0,0,3,14,30,64,49,3,0,3,7,189,3,0,3,3,3,15,26,20,4,0,3,3,89,4,0,3,3,3,4,17,29,7,0,3,3,84,4,0,0,0,3,3,9,9,6,0,0,3,39,17,3,9,21,28,46,87,72,9,0,5,13,310,11,0,25,36,23,27,18,9,0,0,0,39,183,276,57,444,802,570,1031,1408,596,77,12,33,188,5492
10901,35,65,60,132,237,118,18,0,5,9,702,14,3,18,47,47,74,130,116,20,4,3,14,485,17,0,6,8,14,19,55,52,13,3,0,3,199,14,0,3,4,0,22,23,57,19,3,4,6,155,0,0,3,10,3,8,7,23,10,3,0,5,73,10,4,30,35,32,70,85,83,14,3,0,15,370,6,8,30,48,15,23,14,4,0,0,0,50,201,279,112,828,1405,826,1405,1356,730,114,17,21,235,7333
10902,18,21,14,8,0,3,0,0,3,4,109,29,0,3,9,9,5,0,4,0,0,0,3,68,13,0,4,7,5,7,3,3,0,0,0,0,37,5,0,3,6,0,0,3,4,0,0,0,6,31,7,0,8,0,0,3,0,4,0,0,0,0,20,26,0,11,13,11,6,3,5,0,0,0,6,90,4,0,12,19,7,6,0,0,0,0,0,9,62,262,33,239,339,147,97,42,31,3,4,12,74,1281
10903,26,61,43,68,66,24,5,0,4,19,389,48,10,19,35,21,46,56,29,8,0,4,9,272,18,4,3,6,8,21,21,19,3,0,3,4,112,17,0,8,6,15,16,16,16,3,0,7,4,112,8,0,0,4,4,0,4,9,0,0,4,6,44,26,3,26,36,34,43,42,14,0,0,3,15,237,17,7,38,40,11,9,3,3,0,0,0,28,160,532,131,576,812,478,612,473,176,30,10,42,194,4067
11001,13,31,38,74,126,105,25,6,0,19,494,29,3,10,12,15,41,75,64,8,0,3,11,275,12,0,5,11,3,20,21,42,12,0,3,0,117,8,0,0,6,11,10,13,40,12,3,0,0,110,11,0,3,0,0,0,0,16,7,4,0,0,49,27,3,13,29,20,39,65,61,12,3,3,7,283,7,0,17,42,9,15,13,3,0,3,0,23,130,379,65,375,644,479,740,855,606,113,22,16,153,4451
11002,28,35,37,71,68,14,4,0,0,8,307,34,0,15,20,23,32,50,16,0,0,0,9,185,7,0,0,3,6,18,20,3,0,0,0,0,61,14,0,9,3,4,0,21,3,0,0,0,3,58,0,0,3,3,3,0,9,3,0,0,0,3,28,37,0,20,33,21,45,46,12,0,0,0,20,233,23,3,29,37,19,23,10,3,0,0,0,21,161,559,81,542,771,539,721,499,108,10,9,17,182,4041
11003,32,44,38,48,49,45,9,0,0,18,381,52,10,13,26,31,21,41,45,8,3,0,23,275,28,4,10,8,4,10,12,26,9,0,0,12,128,34,0,15,8,4,7,16,26,3,0,0,12,134,8,0,0,3,0,3,0,12,9,0,3,3,58,31,7,26,45,21,27,26,18,7,0,3,16,229,17,3,20,32,9,10,3,3,0,0,0,27,125,576,98,453,702,303,340,329,269,67,12,16,216,3388
11004,30,65,75,160,335,224,35,5,3,48,1063,64,3,25,36,43,73,231,207,33,7,5,33,759,33,0,5,5,9,26,83,87,22,10,3,8,293,23,3,7,19,13,27,65,89,44,0,3,12,318,17,3,11,16,0,10,26,44,19,0,4,5,167,47,8,22,39,35,93,126,127,29,8,3,29,566,19,4,34,59,20,37,38,13,5,0,0,53,284,688,131,704,1227,856,1514,2196,1258,244,36,48,393,9291
11101,4,24,25,59,271,518,149,46,8,12,1144,14,0,7,12,13,34,150,385,152,40,15,14,847,9,0,0,3,3,6,50,157,103,34,5,3,382,7,0,6,3,3,3,27,86,101,60,21,11,327,6,0,3,3,6,0,11,36,44,32,29,3,173,25,3,28,20,25,35,115,197,77,37,12,27,609,13,3,58,41,15,13,34,28,4,3,0,48,264,385,91,979,858,569,813,2262,3021,905,302,117,325,10636
11102,13,11,17,31,155,284,134,15,3,15,694,15,0,3,4,10,19,92,206,124,13,3,3,496,11,0,0,0,8,6,28,78,62,13,0,7,209,4,0,3,7,0,6,10,53,81,15,3,4,185,3,0,6,0,0,0,6,24,40,6,4,0,91,17,0,14,19,10,29,99,132,55,3,5,6,389,13,4,22,27,9,9,23,21,5,0,0,31,169,204,64,446,494,354,505,1366,1713,728,80,38,169,6161
11103,25,42,46,117,516,1174,433,70,46,36,2549,36,0,10,24,32,71,332,865,451,120,51,29,2020,9,0,8,10,16,23,110,432,248,73,34,12,971,12,0,13,18,7,26,89,267,283,115,94,17,935,3,0,7,7,4,5,17,84,139,105,107,8,489,21,3,50,54,41,70,220,492,314,108,99,57,1537,29,18,113,40,27,28,48,46,16,5,12,102,494,726,264,2027,1393,975,1692,4113,6426,2622,727,564,642,22165
11201,8,11,23,47,142,279,203,94,56,15,924,28,0,11,12,5,21,74,194,127,90,67,14,632,8,0,3,8,8,5,20,78,73,44,55,8,304,3,0,3,6,4,8,22,51,52,51,71,5,284,0,0,0,0,3,4,5,13,36,24,64,5,158,22,0,17,16,21,29,91,175,158,98,97,18,741,13,0,31,23,13,16,33,24,17,3,9,38,232,401,50,503,548,435,760,1474,2056,1243,642,573,294,8980
11202,12,23,41,119,239,108,16,0,4,16,607,25,3,8,19,10,55,125,93,22,3,3,7,364,5,0,0,4,4,16,38,45,6,0,0,4,124,7,0,6,0,4,15,20,36,8,3,3,8,120,3,0,0,3,0,7,10,8,6,0,3,3,45,14,4,21,35,30,82,125,73,12,0,4,15,419,12,0,20,41,13,24,24,6,3,0,0,29,188,438,82,601,1030,735,1416,1874,786,127,26,30,238,7383
11203,11,13,21,44,204,418,232,60,36,20,1089,13,0,8,9,15,17,99,255,160,57,30,11,677,8,0,3,4,8,9,23,97,65,35,17,5,268,9,0,4,6,3,11,22,72,61,34,26,19,267,3,0,0,0,0,0,3,18,24,16,37,4,110,24,3,13,20,14,47,109,206,123,40,30,24,647,7,0,39,36,20,33,41,29,8,0,3,60,283,352,59,548,602,458,832,2053,2676,1154,337,258,336,9669
11301,41,85,68,138,125,46,7,0,4,19,613,51,6,14,64,44,74,85,52,3,0,6,22,422,31,3,18,18,13,44,37,31,3,0,0,5,206,12,4,11,17,9,28,36,33,6,0,0,13,158,13,0,4,12,10,6,16,12,0,0,0,3,86,31,4,20,69,33,50,40,29,0,0,0,16,304,12,3,35,59,26,23,15,5,0,0,0,41,218,547,91,602,1236,615,907,640,293,28,12,24,222,5213
11302,15,29,14,37,38,4,0,0,0,7,179,12,0,5,12,10,15,30,11,0,0,3,3,102,4,0,3,6,3,5,11,0,0,0,3,0,31,6,0,4,0,0,0,7,4,0,0,0,3,25,4,0,0,0,0,0,0,0,0,0,0,3,13,13,3,10,18,12,14,13,10,0,0,0,9,90,5,0,9,14,0,0,4,0,0,0,0,3,38,162,38,183,345,179,187,161,40,0,0,13,62,1379
11303,27,85,83,231,355,230,39,7,12,36,1154,52,0,15,60,35,120,244,182,38,3,4,13,773,21,5,7,17,14,62,105,92,17,0,0,15,358,32,8,9,17,8,35,66,95,46,6,5,11,334,6,0,7,4,3,12,32,37,17,0,7,0,133,27,6,34,57,50,119,141,95,30,4,3,27,597,13,5,59,51,24,31,21,8,4,0,0,56,286,695,194,992,1537,905,1743,2294,1180,245,40,45,326,10206
11401,6,46,37,160,319,293,47,6,13,21,983,29,0,3,15,18,83,168,201,33,13,11,14,593,14,0,0,5,12,44,50,97,30,4,3,3,272,11,0,9,6,8,13,36,69,29,10,11,8,206,3,4,0,3,0,6,22,35,15,9,8,5,115,17,0,21,46,31,103,172,150,25,6,8,30,609,21,4,47,46,23,28,48,25,0,0,6,66,307,431,110,582,988,709,1608,2744,1801,279,53,84,330,9721
11402,9,6,9,32,75,149,89,35,13,13,452,20,0,0,6,8,9,53,109,74,26,15,8,340,11,0,0,3,5,5,12,38,40,19,11,0,140,6,0,0,3,3,0,16,35,45,26,22,3,159,5,0,3,0,0,3,3,13,19,16,32,3,93,21,0,6,5,7,13,41,61,46,24,32,14,263,8,0,8,21,3,3,13,6,0,3,0,22,89,225,15,86,258,206,278,593,901,478,205,157,145,3555
11501,9,0,6,15,18,78,285,262,164,18,884,16,0,3,3,8,13,22,61,311,362,285,13,1092,8,0,3,0,0,11,7,46,181,218,217,7,694,13,0,0,0,6,4,18,29,200,316,423,15,1031,12,0,3,0,0,3,11,15,97,205,571,11,937,14,0,9,6,4,12,14,38,110,175,245,32,662,9,0,6,8,5,0,0,4,13,16,3,22,85,209,17,123,90,76,125,190,521,1733,2038,2218,239,7579
11502,0,8,0,0,12,28,21,19,19,4,131,10,0,0,0,0,3,7,20,20,19,24,6,117,5,0,0,3,0,0,0,11,17,19,13,3,74,12,0,0,0,0,3,6,3,10,13,51,0,97,7,0,0,0,4,0,3,3,7,10,52,0,91,6,0,0,0,0,5,9,9,13,14,25,10,100,0,0,0,0,3,0,0,0,3,0,3,3,17,131,5,16,31,35,45,89,145,146,144,236,64,1095
11503,0,3,3,3,18,46,27,5,6,3,137,8,0,3,3,0,0,6,24,32,12,4,0,101,5,0,0,0,0,0,3,19,12,8,7,0,57,3,0,0,0,0,3,3,8,14,10,11,3,64,0,0,0,0,0,0,3,5,3,3,15,0,29,5,0,0,0,3,3,3,15,11,6,3,3,48,0,0,0,0,3,0,0,0,4,0,0,3,18,127,6,25,39,55,55,97,235,151,55,59,36,936
11504,0,3,7,14,7,28,43,70,52,7,236,7,0,0,0,6,10,7,13,32,80,54,3,219,3,0,0,0,0,9,3,11,9,46,78,3,159,4,0,0,0,0,4,6,6,25,67,108,3,223,4,0,0,0,0,3,3,5,11,38,118,0,178,9,0,0,0,0,0,10,19,12,41,63,7,159,0,0,0,0,0,0,0,0,0,0,4,9,13,67,0,6,23,26,75,89,157,200,433,526,56,1662
11601,8,19,23,46,187,1077,361,69,25,40,1891,22,0,15,15,10,31,137,838,369,75,13,21,1547,16,0,5,0,11,7,63,404,239,53,14,11,823,7,0,8,10,7,12,28,294,235,58,26,10,710,8,0,3,5,3,8,10,109,83,48,21,11,309,15,5,40,34,30,28,67,341,186,64,14,54,884,13,12,65,24,17,12,27,55,12,4,3,93,345,477,187,1205,724,450,554,1397,5937,2224,471,154,521,14292
11602,6,8,6,29,42,208,279,197,71,15,874,11,0,0,0,6,19,31,155,311,281,108,18,937,5,0,0,0,0,3,13,78,166,188,97,11,568,3,0,0,0,5,6,17,61,179,244,151,13,680,6,0,0,0,3,0,9,34,74,173,161,3,467,10,0,3,5,7,23,27,66,112,117,87,26,484,0,0,4,3,0,3,3,3,12,14,0,17,66,119,11,92,116,107,181,290,1161,1628,1506,807,156,6176
