SA2_MAINCODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
103021069,0,58,211,5084,123,14,3,140,704,5926
103031070,9,49,381,10849,469,76,19,562,1402,12818
103031071,3,21,133,7047,211,24,0,239,978,8262
103031072,23,21,304,10370,346,56,5,405,952,11728
103031073,3,12,80,2978,89,14,0,98,371,3444
103031074,6,22,162,8882,207,24,3,230,1243,10359
103031075,0,0,0,0,0,0,0,0,0,0
103041076,3,16,169,6660,120,9,0,129,477,7271
103041077,40,63,662,16529,869,169,12,1051,1434,19009
103041078,21,20,240,17403,1204,186,26,1418,903,19728
103041079,3,23,197,10591,232,28,0,257,756,11603
104011080,5,71,725,16861,409,42,13,472,1346,18668
104011081,9,24,233,13788,259,27,6,295,1228,15311
104011082,17,46,657,14741,381,32,18,432,1113,16279
104021083,0,3,122,5162,250,10,6,261,378,5807
104021084,53,63,503,14636,1230,360,30,1620,1202,17462
104021085,13,243,566,8136,806,266,16,1088,1065,10295
104021086,0,6,33,3372,138,7,4,157,287,3820
104021087,5,9,90,2874,84,9,3,99,272,3243
104021088,13,7,113,7763,463,46,13,521,451,8737
104021089,29,39,545,17657,772,87,9,866,947,19477
104021090,11,9,165,4277,85,3,7,93,296,4666
104021091,14,16,300,10190,1127,308,23,1456,883,12523
105011092,4,11,59,3225,99,13,3,122,650,4002
105011093,0,9,78,3919,177,25,9,207,535,4657
105011094,0,18,105,3449,64,4,0,67,595,4113
105011095,0,22,121,4326,117,8,0,126,521,4969
105011096,4,4,80,5298,329,31,3,371,745,6412
105021097,15,197,593,15703,433,50,11,492,1508,17708
105021098,0,4,28,2069,60,4,3,67,373,2507
105031099,3,28,258,7015,190,18,0,206,720,7950
105031100,5,11,180,9158,486,49,3,542,679,10378
105031101,15,57,508,14674,1120,141,9,1269,996,16942
105031102,5,8,114,7662,400,56,0,452,653,8768
105031103,0,14,69,5082,56,3,4,65,477,5625
105031104,4,12,132,3933,87,5,6,97,338,4373
105031105,3,25,179,5832,84,11,0,98,599,6535
105031106,6,39,240,7104,151,22,8,175,1554,8831
106011107,12,6,88,9231,235,19,9,264,633,10125
106011108,4,42,561,19425,379,77,20,476,2099,21994
106011109,6,11,85,6958,125,12,0,138,829,7931
106011110,0,10,179,8282,87,3,0,90,602,8975
106011111,8,67,330,16223,286,34,11,323,1088,17638
106011112,5,32,292,14556,521,88,3,614,915,16089
106011113,3,8,46,4195,89,17,0,109,619,4919
106021114,9,13,182,5881,229,43,4,271,449,6603
106021115,25,66,522,24728,1173,183,17,1374,1311,27416
106021116,3,25,146,7084,167,7,4,184,346,7617
106021117,19,54,340,20532,743,114,18,875,1118,22527
106021118,3,3,52,9332,350,55,5,404,265,10007
106031119,6,21,97,5060,187,16,3,202,470,5729
106031120,11,14,155,6078,147,16,10,171,438,6684
106031121,27,175,904,18436,962,97,20,1081,1499,21019
106031122,21,15,272,12362,411,61,7,481,979,13823
106031123,3,0,44,5066,88,15,3,108,236,5415
106031124,5,9,240,4558,192,15,0,209,271,5037
106031125,8,16,129,12278,350,40,0,392,998,13669
106041126,5,16,138,10571,477,56,8,540,967,12075
106041127,0,3,66,3615,72,3,0,74,324,4014
106041128,3,28,185,5147,214,68,7,294,385,5827
106041129,0,31,165,7298,147,15,3,164,824,8284
107011131,71,45,593,20865,1535,217,30,1781,813,23458
107011132,23,6,87,7471,836,133,23,986,198,8659
107011133,0,0,0,6,0,0,0,0,0,10
107011134,114,79,484,12162,2110,293,103,2512,706,15378
107011545,123,12,290,9035,3136,867,54,4058,706,13801
107011546,194,26,353,5981,2248,876,51,3175,591,9749
107011547,26,12,133,3571,387,108,12,503,232,4300
107021135,0,0,0,7,0,0,0,0,0,8
107031136,58,13,281,12992,759,95,12,868,473,14337
107031137,24,24,219,6140,356,61,7,416,357,6918
107031138,16,62,315,6826,373,47,10,425,441,7700
107031139,4,6,117,5417,227,18,0,248,208,5875
107031140,16,46,268,6900,256,22,7,288,627,7808
107031141,32,15,170,13948,1881,255,19,2157,718,16826
107031142,66,15,236,8091,1230,205,22,1456,403,9957
107031143,133,30,461,16778,1937,447,27,2409,1236,20421
107041144,165,31,666,16086,3503,691,35,4236,876,21196
107041145,95,30,476,12836,1648,262,21,1930,649,15424
107041146,109,30,550,15874,3845,645,24,4518,693,21080
107041147,16,10,127,7933,427,77,6,515,335,8789
107041148,23,18,203,10147,610,42,9,661,492,11305
107041150,63,24,518,17788,1106,148,11,1270,786,19838
107041548,75,72,428,9052,2662,640,23,3326,1586,13967
107041549,97,17,344,10499,4279,1121,37,5434,774,16702
108011151,6,4,124,4337,88,4,0,98,296,4723
108011152,21,152,785,12823,397,36,6,447,1002,14267
108011153,3,15,94,5508,138,8,7,158,421,6087
108011154,10,34,447,5510,174,22,4,204,471,6186
108021155,14,97,480,12507,352,64,7,423,1827,14754
108021156,4,15,185,8069,184,26,0,206,746,9025
108021157,4,41,205,4316,107,8,0,115,366,4793
108021158,6,84,381,5991,197,17,4,224,537,6750
108021159,5,12,113,6972,156,11,0,170,525,7661
108021160,0,14,207,4703,106,15,3,125,306,5133
108031161,0,0,10,321,17,3,0,22,39,382
108041162,19,47,633,15462,301,26,9,337,944,16746
108041163,38,106,1054,25560,986,80,24,1090,1404,28050
108041164,52,72,913,15351,707,108,16,838,1140,17329
108041165,0,6,64,4656,116,3,0,123,514,5297
108041166,3,14,314,10251,215,15,6,236,664,11151
108051167,5,12,173,4595,90,11,3,106,334,5034
108051168,18,52,285,9682,293,24,5,319,537,10537
108051169,15,167,851,18349,612,75,22,716,1422,20482
108051170,5,17,222,11256,201,13,6,223,962,12438
108051171,4,36,201,4922,122,9,5,134,318,5374
109011172,18,17,298,13547,731,81,11,818,678,15048
109011173,9,23,245,8403,499,145,13,649,783,9844
109011174,26,83,447,8730,627,95,10,735,836,10301
109011175,7,47,268,10661,206,31,4,240,707,11608
109011176,27,24,335,12125,1019,320,17,1351,997,14468
109021177,4,13,60,2504,110,13,3,129,340,2969
109021178,9,3,128,5149,201,19,9,228,593,5967
109021179,4,10,58,2985,174,32,4,202,420,3614
109031180,8,48,219,4958,123,16,3,142,375,5482
109031181,3,32,194,6036,111,10,7,128,577,6736
109031182,4,30,280,6492,216,66,0,287,655,7434
109031183,3,10,178,6011,125,14,3,139,610,6752
109031184,0,19,164,5305,150,19,3,170,374,5849
109031185,7,52,336,8426,296,32,5,331,971,9728
110011186,16,36,521,19446,1932,303,24,2255,1645,23352
110011187,0,4,103,4062,92,23,3,117,311,4488
110011188,6,8,107,5521,111,5,3,119,379,6021
110011189,0,36,97,2819,51,0,0,50,353,3224
110021190,6,63,279,7633,185,35,6,227,972,8836
110021191,5,26,340,10447,379,66,12,455,760,11660
110021192,4,11,99,4585,107,11,3,120,538,5241
110021193,3,32,170,5345,63,9,0,74,564,5988
110021194,0,59,176,5730,158,17,6,183,718,6628
110031195,8,17,143,6846,341,51,7,396,964,8200
110031196,0,3,34,4669,129,11,0,145,644,5451
110031197,0,42,154,6307,161,11,0,175,682,7167
110031198,0,24,74,4143,47,5,0,54,601,4798
110041199,5,22,286,8267,230,34,4,267,651,9191
110041200,0,5,62,3703,58,9,0,67,362,4135
110041201,0,11,191,6907,99,5,3,111,672,7686
110041202,5,35,395,18104,727,232,9,973,1293,20370
110041203,12,83,600,13093,714,137,14,866,1119,15076
110041204,5,3,53,4784,209,28,8,250,533,5560
110041205,9,51,393,16797,273,42,8,322,1355,18474
111011206,16,127,560,16323,588,66,20,676,726,17724
111011207,4,10,157,5217,135,14,0,151,236,5606
111011208,53,34,615,21509,1304,193,20,1519,933,23965
111011209,50,53,534,21224,1171,163,17,1350,813,23389
111011210,7,22,277,8046,310,36,6,353,508,8900
111011211,3,51,151,3186,135,9,6,149,186,3516
111011212,16,41,398,10711,311,35,4,355,485,11551
111011213,13,9,259,11137,469,49,7,525,333,11995
111011214,27,26,331,12223,566,82,10,650,494,13365
111021215,5,113,293,7665,248,39,5,297,564,8527
111021216,21,13,185,8003,339,36,8,386,332,8717
111021217,26,17,303,12792,815,125,12,946,458,14200
111021218,31,45,730,13431,676,82,21,775,755,14959
111021219,24,112,581,12347,398,54,9,459,618,13425
111021220,4,12,169,8333,270,22,3,294,268,8893
111021221,3,0,64,6098,130,11,3,148,239,6479
111031222,31,18,385,13950,1100,156,12,1270,378,15601
111031223,7,18,145,7513,254,123,3,381,459,8360
111031224,76,64,338,9866,1089,201,13,1302,683,11848
111031225,28,64,455,14635,1138,178,22,1335,553,16519
111031226,4,3,73,11707,1277,210,24,1513,350,13566
111031227,44,138,442,12450,1230,286,20,1534,888,14874
111031228,16,64,330,12269,694,55,5,751,600,13617
111031229,6,18,156,8996,808,80,15,904,861,10764
111031230,0,0,0,20,0,0,0,0,0,20
111031231,20,27,352,8083,2352,620,12,2987,475,11541
111031232,0,88,238,6411,202,25,4,231,852,7496
111031233,105,54,702,16616,1848,394,25,2270,741,19629
111031234,33,333,591,9886,1075,165,17,1254,914,12059
111031235,14,8,109,6981,488,68,8,564,459,8004
112011236,36,260,1112,14990,604,58,15,672,1452,17111
112011237,20,28,516,15103,608,43,20,666,1063,16832
112011238,5,24,106,4749,283,17,4,304,615,5665
112011239,4,16,188,6989,492,32,10,526,689,8212
112011240,8,41,223,7250,746,52,7,800,1452,9502
112011241,3,17,150,4674,84,15,3,101,446,5221
112011242,6,4,132,7035,307,22,3,332,374,7741
112011243,11,14,169,6407,554,24,17,595,994,7993
112021244,14,29,408,11198,221,22,8,256,780,12227
112021245,0,7,113,6187,126,23,4,149,633,6971
112021246,34,59,486,11531,647,91,10,747,853,13126
112021247,9,27,209,6438,207,10,8,220,653,7312
112021248,28,56,485,13319,648,102,5,757,1209,15280
112021249,17,24,177,13169,605,45,14,664,1193,15025
112031250,14,46,373,11770,397,21,3,427,964,13156
112031251,16,61,414,7974,344,36,10,388,576,8944
112031252,5,15,134,8360,309,34,3,340,947,9654
112031253,10,24,279,11869,488,46,15,546,764,13182
112031254,35,174,1001,16704,944,119,17,1080,1632,19417
112031550,24,61,776,14289,627,75,12,715,636,15635
112031551,0,3,39,2983,125,4,0,130,138,3244
112031552,18,55,565,7111,435,74,12,515,518,8147
113011256,205,86,596,12863,3496,1035,78,4603,1671,19144
113011257,40,13,185,10529,963,157,24,1144,1203,12879
113011258,23,24,231,8447,659,123,11,794,843,10091
113011259,10,23,202,5252,155,23,4,175,611,6036
113021260,3,8,91,2952,90,4,0,98,403,3449
113021261,3,76,229,5423,194,18,0,214,635,6275
113021262,7,15,117,4135,174,44,7,228,353,4715
113031263,3,27,294,6911,151,28,0,176,487,7570
113031264,0,8,103,3269,62,12,0,74,257,3597
113031265,0,10,115,4715,124,86,0,207,1323,6245
113031266,3,9,228,6158,125,25,3,155,408,6718
113031267,14,27,285,14857,895,141,14,1050,683,16585
113031268,4,5,112,3747,392,49,9,441,215,4405
113031269,13,25,510,18749,1252,292,18,1556,963,21266
113031270,17,45,399,10241,824,151,15,991,928,12157
113031271,5,52,267,13262,290,44,3,344,1215,14814
114011272,14,36,376,7878,256,20,6,286,627,8789
114011273,4,6,86,3193,177,26,0,201,229,3617
114011274,10,20,214,4410,147,15,9,163,382,4955
114011275,0,0,0,37,0,3,0,3,11,49
114011276,12,21,161,3644,267,45,0,321,233,4188
114011277,19,48,430,14135,599,81,11,691,935,15759
114011278,23,76,475,16798,834,145,7,982,2257,20039
114011279,32,52,457,12620,535,74,13,619,768,14007
114011280,10,20,234,3963,132,3,0,138,237,4342
114011281,3,0,32,3062,132,16,0,145,196,3407
114011282,16,58,595,13726,548,56,3,607,946,15278
114011283,9,9,96,4539,137,20,0,159,368,5062
114021284,32,36,653,11440,749,63,23,832,674,12949
114021285,3,10,45,5451,219,31,4,253,321,6025
114021286,9,22,261,7781,553,67,11,624,589,8999
114021287,27,8,255,8517,583,136,15,725,556,9797
114021288,3,5,45,3115,98,12,0,107,287,3506
114021289,12,12,171,5941,252,16,0,270,369,6589
115011290,78,34,463,13959,7001,1346,76,8425,564,22944
115011291,75,3,174,11862,6825,916,42,7788,422,20066
115011294,21,10,210,5306,710,63,9,780,166,6251
115011296,65,3,182,7593,4140,627,35,4799,246,12639
115011553,15,0,92,4613,2315,444,29,2787,208,7611
115011554,45,383,844,3118,1632,211,15,1853,622,5593
115011555,44,13,186,7829,3170,562,22,3753,307,11885
115011556,70,5,141,5851,2782,607,28,3425,239,9517
115011557,19,3,43,2974,1902,241,9,2146,116,5241
115011558,87,22,451,10412,7069,866,51,7981,369,18765
115011559,52,8,127,14769,6909,919,59,7885,568,23228
115021297,110,20,416,16600,3114,380,28,3520,904,21016
115021298,22,6,189,4518,426,59,10,493,200,5210
115031299,0,3,33,2221,96,3,3,100,370,2692
115031300,22,23,227,19599,932,102,10,1046,1249,21900
115041301,14,12,121,9207,751,103,8,864,463,10528
115041302,50,0,113,15709,5643,621,56,6317,621,22652
116011303,102,55,302,7128,7377,1375,120,8875,914,16921
116011304,188,23,342,9804,6463,1049,63,7578,645,18023
116011306,85,17,183,10057,10339,1190,87,11610,857,22530
116011307,88,61,429,16963,5743,923,87,6756,1159,24879
116011308,113,28,254,11793,9279,1655,110,11044,1089,23921
116011560,55,13,133,6015,4904,796,61,5757,552,12322
116011561,199,23,358,7731,6510,1151,92,7753,676,16156
116021309,43,4,65,8061,7017,721,60,7797,270,16130
116021310,45,8,99,17252,12016,1224,109,13354,2037,32645
116021312,56,12,141,11337,4295,543,59,4900,1073,17312
116021562,13,0,18,2053,1502,137,11,1656,91,3793
116021563,49,14,164,13926,7432,826,89,8350,669,22938
116031313,43,16,109,11605,4420,803,80,5302,1540,18445
116031314,82,6,101,4329,3259,422,53,3735,293,8356
116031315,78,3,155,10242,8541,905,87,9537,895,20671
116031316,29,15,118,13484,4848,637,78,5561,1666,20709
116031317,91,20,195,9663,9668,1935,147,11743,1297,22698
116031318,0,0,0,15,4,3,0,3,18,40
116031319,173,7,417,10387,8725,1117,112,9954,813,21154
117011320,0,0,0,16,3,0,0,3,0,18
117011321,81,4,185,7395,2417,336,43,2801,629,10817
117011322,194,18,332,9811,11016,2147,130,13293,1310,24410
117011323,95,23,244,5721,4026,764,58,4847,808,11373
117011324,0,0,0,3,3,0,0,5,0,10
117011325,0,0,0,16,10,0,0,11,32,58
117021326,371,23,540,14778,7233,2645,89,9966,1789,26533
117021327,113,11,216,14268,3496,717,36,4245,1721,20231
117021328,62,7,99,5014,1808,523,24,2360,474,7846
117031329,4,11,60,7115,2155,232,11,2403,1799,11320
117031330,23,11,60,11899,2630,368,23,3025,1312,16233
117031331,48,53,204,12450,4487,708,45,5244,1919,19609
117031332,53,16,132,16984,5017,637,29,5691,2164,24839
117031333,56,73,428,12842,3499,395,27,3925,4438,21205
117031334,49,11,108,8387,9101,1898,72,11070,2198,21656
117031335,96,30,184,11049,7355,1515,69,8939,2510,22501
117031336,90,23,231,9565,3777,910,35,4730,2122,16412
117031337,47,22,159,6885,12779,3777,137,16700,3831,27407
117031338,146,34,243,14558,12486,2695,108,15279,3227,33060
118011339,101,27,288,12887,3356,321,33,3714,1804,18398
118011340,89,39,285,14361,3704,277,28,4012,2355,20728
118011341,182,142,655,10919,3519,449,22,3987,1953,16857
118011342,0,0,0,0,0,0,0,0,0,0
118011343,126,112,826,18381,3819,285,27,4134,2354,24868
118011344,79,24,281,7707,2289,191,19,2499,623,10829
118011345,39,20,196,11584,1937,172,24,2137,1452,15170
118011346,63,45,334,9074,1837,158,15,2008,758,11840
118011347,56,55,290,5825,1006,84,10,1093,765,7685
118021348,81,43,399,18910,3973,416,59,4452,2092,25452
118021350,132,121,632,14788,5151,800,53,6004,3242,24036
118021564,84,29,236,7046,6043,699,38,6779,1054,14882
118021565,144,15,255,5942,7597,1290,55,8941,727,15599
118021566,155,10,396,5841,3048,473,36,3556,416,9812
118021567,96,33,259,6480,2908,545,33,3482,721,10683
118021568,87,14,194,4687,4207,709,31,4943,570,10199
118021569,161,71,514,11977,3461,372,30,3856,1040,16873
118021570,59,67,297,8278,3080,385,29,3496,1339,13112
119011354,188,23,588,8728,9739,2223,103,12065,1032,21828
119011355,3,0,3,183,482,149,7,646,77,900
119011356,83,15,192,3336,6020,1326,80,7426,552,11309
119011357,281,34,562,6634,14738,3038,173,17949,1387,25964
119011358,128,41,610,9141,5327,1292,44,6669,666,16475
119011359,78,20,518,17677,5998,1083,55,7138,977,25788
119011360,91,29,497,8470,5688,1367,49,7104,649,16219
119011361,209,37,535,6116,10462,2950,122,13534,1059,20706
119011571,127,16,256,3013,9128,2842,125,12101,1120,16237
119011572,152,31,271,2657,8769,3150,133,12052,1287,15998
119021362,232,17,388,6190,9177,2643,127,11939,910,19037
119021363,376,26,569,6638,15733,6546,216,22495,1492,30622
119021364,387,41,687,10346,9726,2207,143,12081,1253,23680
119021366,164,29,297,4541,11905,3007,152,15063,1151,20757
119021367,109,13,299,4956,6572,1381,80,8035,754,13738
119021573,184,63,287,2503,10337,2947,180,13465,1052,17023
119021574,41,0,70,1733,6150,1519,92,7765,724,10218
119031368,249,44,463,4569,13207,4733,93,18035,1007,23608
119031369,136,47,608,12174,8611,1987,85,10681,1051,23904
119031370,131,29,424,4962,6261,1932,62,8256,564,13784
119031371,62,18,318,7816,3672,701,36,4413,379,12613
119031372,102,30,737,11785,4750,814,73,5638,518,17933
119031373,110,13,246,3557,4887,2136,71,7097,631,11280
119031374,184,31,624,9410,10843,2958,85,13885,772,24070
119041375,136,17,311,7381,10475,2204,111,12796,1277,21448
119041376,261,187,756,9026,13172,2691,137,15998,1450,26478
119041377,168,11,344,5261,5540,1285,54,6878,474,12611
119041378,116,19,242,3322,6264,1140,67,7471,522,11311
119041379,118,11,276,6040,7519,1671,85,9270,662,15969
119041380,160,27,347,6072,5900,912,89,6909,988,13969
119041381,237,160,539,5560,10858,2113,142,13109,1295,19961
119041382,136,46,565,8969,5265,789,54,6113,895,15976
120011383,263,15,571,12646,6860,1317,66,8239,857,21740
120011384,112,8,251,8449,12060,2881,132,15068,1330,24847
120011385,243,44,601,12790,3738,608,33,4372,1157,18325
120011386,271,69,589,12816,5309,1030,69,6406,1224,20441
120021387,32,21,161,12593,1598,182,17,1796,1301,15687
120021388,134,13,381,19822,4104,591,45,4747,1818,26387
120021389,64,20,186,10798,1883,284,21,2188,1010,13991
120031390,344,41,724,9794,10480,2651,110,13250,1454,24501
120031391,383,43,579,7295,12189,3882,117,16180,1176,24649
120031392,100,6,146,5400,3622,838,44,4509,545,10448
120031393,230,35,459,8219,6660,1578,71,8316,692,17228
120031394,134,23,274,10593,4058,980,49,5082,1130,16811
120031395,272,21,406,8655,3398,739,40,4174,641,13470
120031396,65,3,107,3375,8966,2307,117,11393,1442,16211
120031575,317,31,666,7281,13263,3018,135,16411,1317,25013
120031576,29,0,46,1438,1650,283,14,1953,153,3546
121011398,187,72,614,10917,12610,3512,135,16252,1518,28683
121011399,124,16,447,11327,7197,1381,66,8644,888,20857
121011400,111,38,668,19792,5138,689,60,5887,1057,26734
121011401,19,13,97,6227,3090,463,34,3585,680,10500
121011402,162,36,681,18382,5187,867,62,6113,966,25462
121021403,36,10,271,14185,3144,472,31,3652,454,18287
121021404,9,13,116,10233,1029,113,10,1149,310,11699
121021406,74,6,384,13388,3968,617,41,4629,512,18531
121021577,62,10,169,4254,5745,1366,59,7167,374,11801
121021578,52,15,239,6408,3038,685,35,3761,515,10679
121021579,59,14,357,4333,3993,832,42,4869,399,9601
121031407,90,59,731,12252,6913,1433,51,8394,684,21327
121031408,99,66,599,15661,5640,1046,33,6721,767,23148
121031409,48,19,350,11513,3786,583,30,4404,436,16352
121031410,64,50,604,14214,4768,875,54,5692,543,20451
121031411,74,241,1166,14454,3404,518,35,3956,854,19268
121031412,66,46,590,13247,3383,457,21,3866,708,17826
121041413,45,25,287,14385,3124,335,27,3489,1209,19079
121041414,42,19,235,12579,3810,471,30,4307,1140,18022
121041415,79,97,910,22190,3945,401,42,4386,1898,28475
121041416,59,68,508,12714,3256,339,31,3633,1514,17852
121041417,21,8,117,6833,2591,274,24,2888,990,10706
122011418,48,24,401,16674,2427,214,32,2664,847,20186
122011419,41,121,483,16715,3048,237,32,3317,1672,21704
122021420,17,13,338,11084,716,44,9,762,523,12376
122021421,24,40,413,9272,792,68,10,870,603,10742
122021422,23,6,206,11805,902,74,6,987,398,13181
122021423,86,123,699,20200,2474,239,19,2734,1195,24132
122031424,71,30,383,10332,2496,456,31,2989,567,13885
122031425,24,11,248,6191,883,103,11,1003,295,7482
122031426,58,27,375,16207,6081,1051,79,7207,1528,24951
122031427,55,23,408,9422,2726,319,19,3063,309,12798
122031428,104,82,719,20303,3679,403,32,4109,761,25170
122031429,86,29,366,16561,2796,372,40,3210,1206,20978
122031430,58,121,516,13494,2327,325,26,2680,695,16870
122031431,80,186,1282,20408,2609,257,30,2905,1459,24773
122031432,9,3,109,3111,308,29,3,346,188,3646
123011433,30,77,609,11760,674,51,15,732,468,12960
123011434,25,11,153,17737,2264,245,21,2529,715,20980
123011435,15,4,115,24114,3167,376,40,3592,872,28575
123021436,15,17,138,14540,2834,488,50,3375,1043,18963
123021437,46,26,338,11801,4605,652,53,5314,1076,18192
123021438,40,5,115,14420,4190,639,54,4880,1104,20399
123021439,0,0,0,0,0,0,0,0,0,0
123021440,61,26,231,10962,6848,925,90,7865,1159,19987
123021441,28,13,148,12235,3086,477,61,3622,679,16536
123021442,67,197,377,11304,9203,1232,111,10552,1706,23554
123021443,53,12,167,10913,7127,963,92,8186,787,19885
123021444,35,73,186,14876,4068,638,49,4764,1243,20880
123031445,3,6,86,5105,278,42,0,325,318,5741
123031446,37,0,129,8611,551,47,4,607,411,9626
123031447,42,23,309,14922,799,108,19,928,940,16790
123031448,8,9,84,7981,535,49,18,605,411,8998
124011449,11,6,104,4803,324,33,5,360,394,5561
124011450,25,11,240,17313,915,84,5,999,630,18938
124011451,0,0,0,13,0,0,0,0,0,13
124011452,31,21,325,11045,1182,127,7,1319,853,13224
124011453,16,7,140,10140,617,42,9,673,447,11259
124011454,42,27,633,19909,977,91,9,1083,636,21634
124011455,13,8,176,5339,397,40,3,445,298,6076
124021456,0,0,0,3,0,0,0,0,0,3
124031457,25,18,140,13571,1228,145,23,1400,671,15641
124031458,33,10,124,19101,3020,442,36,3495,1130,23720
124031459,30,9,263,12620,828,107,13,941,665,14220
124031460,19,5,104,17515,2762,231,30,3018,669,21202
124031461,35,10,236,14678,1557,226,15,1795,818,17288
124031462,40,17,277,13793,4124,487,72,4683,1107,19584
124031463,27,11,81,7425,1452,117,25,1595,521,9543
124031464,66,22,458,10046,1915,350,45,2305,941,13295
124031465,3,7,31,4598,328,30,4,358,237,5189
124041466,42,57,459,11927,926,130,14,1080,832,13842
124041467,22,7,182,13691,801,97,16,915,723,15328
124041468,4,5,49,5297,565,76,13,652,1425,7374
124051469,14,3,30,4819,1257,129,13,1404,216,6436
124051470,22,10,106,14502,3955,519,35,4517,882,19897
124051580,34,8,101,7773,2682,373,49,3103,719,11591
124051581,83,23,304,10581,3602,532,63,4195,1293,16072
125011473,28,5,54,6193,7393,1715,62,9163,3375,18737
125011475,0,0,0,3,0,0,0,0,0,3
125011582,108,17,230,2203,9906,4052,153,14111,865,17174
125011583,50,7,68,1025,6657,2838,98,9596,704,11323
125011584,74,6,181,1554,4763,1744,76,6580,351,8484
125011585,67,8,123,1851,4538,2158,55,6753,295,8899
125011586,145,11,261,3767,10666,4414,125,15210,1006,19983
125011587,29,8,76,1296,2636,901,28,3563,205,5064
125021476,124,47,607,11456,11970,3098,92,15163,738,27361
125021477,98,32,421,11159,7269,2039,64,9376,890,21424
125021478,72,17,260,8133,6795,1992,71,8852,797,17786
