SA2_MAINCODE_2016,C06_PI_S_R225_274,C06_PI_S_R275_349,C06_PI_S_R350_449,C06_PI_S_R450_549,C06_PI_S_R550_649,C06_PI_S_R650m,C06_PI_S_R_NS,C06_PI_S_R_Tot,C06_AI_NS_R0_74,C06_AI_NS_R75_99,C06_AI_NS_R100_149,C06_AI_NS_R150_199,C06_AI_NS_R200_224,C06_AI_NS_R225_274,C06_AI_NS_R275_349,C06_AI_NS_R350_449,C06_AI_NS_R450_549,C06_AI_NS_R550_649,C06_AI_NS_R650m,C06_AI_NS_R_NS,C06_AI_NS_R_Tot,C06_Tot_R0_74,C06_Tot_R75_99,C06_Tot_R100_149,C06_Tot_R150_199,C06_Tot_R200_224,C06_Tot_R225_274,C06_Tot_R275_349,C06_Tot_R350_449,C06_Tot_R450_549,C06_Tot_R550_649,C06_Tot_R650m,C06_Tot_R_NS,C06_Tot_R_Tot,C11_N_inc_R0_74,C11_N_inc_R75_99,C11_Ne_Ni_inc_R100_149,C11_Ne_Ni_inc_R150_199,C11_Ne_Ni_inc_R200_224,C11_Ne_Ni_inc_R225_274,C11_Ne_Ni_inc_R275_349,C11_Ne_Ni_inc_R350_449,C11_Ne_Ni_inc_R450_549,C11_Ne_Ni_inc_R550_649,C11_Ne_Ni_inc_R650m,C11_Ne_Ni_inc_R_NS,C11_N_inc_R_Tot,C11_1_149_R0_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650m,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R0_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650m,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R0_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650m,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R0_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650m,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R0_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650m,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R0_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650m,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R0_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650m,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R0_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650m,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R0_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650m,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R0_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650m,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R0_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650m,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R0_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649
101041017,8,5,0,0,0,0,3,59,7,0,6,4,0,0,0,0,0,0,3,10,34,98,48,154,228,129,159,46,12,7,7,11,39,930,0,3,0,0,0,4,3,0,0,0,0,0,10,5,3,0,4,0,3,0,0,0,0,0,0,22,7,11,11,15,17,11,7,0,0,0,0,8,81,20,18,15,13,8,8,4,0,0,0,0,0,92,8,0,14,30,20,29,17,0,0,0,0,0,121,4,0,17,12,8,13,5,5,0,0,0,0,64,0,3,12,15,23,37,25,9,0,0,0,0,125,3,0,13,7,13,31,28,7,0,0,0,4,104,4,0,4,6,6,23,24,10,0,0,0,0,80,0,0,0,7,4,19,18,3,0,0,0,3,52,3,0,0,3,5,16,14,6,0,0,3,0,60,0,0,0,0,0,11,14,9,0,0,0,0,35,3,0,0,0,0,4,5,5,0,0
101041018,14,8,0,0,0,0,3,46,0,0,6,3,3,3,0,0,0,0,0,5,31,47,22,117,233,147,171,61,9,3,0,6,27,839,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,3,0,0,0,0,0,14,3,0,5,15,6,3,3,0,0,0,0,0,32,6,3,7,16,7,15,4,0,0,0,0,3,72,3,0,11,27,27,37,27,7,0,0,0,0,133,3,0,8,11,15,19,12,4,0,0,0,0,69,3,0,10,22,15,36,36,7,0,0,0,3,133,6,0,4,6,10,28,38,14,0,0,0,0,105,3,0,3,9,6,30,24,14,0,0,3,4,91,3,0,0,5,5,6,23,3,0,0,0,0,49,4,0,4,8,8,14,15,9,0,0,4,4,57,0,0,3,0,3,8,14,14,0,0,0,0,40,0,0,0,0,0,3,7,3,4,0
101041019,5,0,0,0,0,0,3,49,6,3,8,6,0,0,0,0,0,0,0,3,29,123,52,162,298,104,49,12,3,0,0,7,23,844,3,0,0,0,0,3,0,0,0,0,0,0,5,4,0,6,7,0,0,0,0,0,0,0,0,18,12,26,11,10,9,7,3,0,0,0,0,0,76,6,18,15,28,6,7,0,0,0,0,0,7,100,8,6,11,34,14,20,10,0,0,0,0,7,112,3,0,7,6,10,9,7,0,0,0,0,3,40,10,0,12,24,19,20,11,0,0,0,0,0,97,6,3,4,29,20,18,19,0,0,0,0,0,101,8,0,5,7,11,27,13,3,0,0,0,0,75,0,0,3,15,13,9,8,4,3,0,0,0,46,10,3,4,3,12,7,19,5,0,0,0,0,70,3,0,0,4,5,5,10,0,0,0,0,0,25,0,0,0,0,0,3,0,3,0,0
101041020,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,3,16,154,25,133,120,26,21,3,0,7,3,10,29,529,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,10,11,0,12,5,0,0,0,0,0,0,0,0,26,12,6,15,14,9,0,0,0,0,0,0,0,56,6,0,15,11,10,6,0,0,0,0,0,3,48,12,0,4,10,5,3,0,0,0,0,0,0,34,13,3,9,13,7,10,5,0,0,0,0,0,68,8,0,12,19,9,4,5,0,0,0,0,4,62,8,0,3,4,12,4,9,0,0,0,0,7,44,0,0,3,8,3,3,3,0,0,0,0,0,22,7,0,3,5,8,4,4,0,0,0,0,0,27,3,0,0,3,5,3,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0
101041021,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,13,5,50,69,46,42,14,0,0,0,3,8,259,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,0,0,0,15,0,0,8,5,0,3,3,0,0,0,0,0,21,0,0,5,16,8,15,0,0,0,0,0,0,41,0,0,0,0,4,4,0,0,0,0,0,0,21,0,0,6,5,4,12,4,0,0,0,0,0,37,3,0,0,6,5,9,5,0,0,0,0,0,36,3,0,0,0,7,8,4,0,0,0,0,0,24,3,0,0,0,6,4,3,3,0,0,0,0,14,0,0,0,3,0,6,12,3,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,5,0,0,0,0,0,3,38,4,3,3,0,0,0,3,0,0,0,0,0,16,54,48,91,118,47,48,7,3,0,0,3,14,425,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,0,0,0,0,0,0,0,0,14,3,8,11,3,5,3,0,0,0,0,0,3,30,4,11,14,24,3,0,0,0,0,0,0,0,67,3,3,14,15,3,12,3,0,0,0,0,0,56,0,3,3,6,5,7,3,0,0,0,0,3,35,0,3,11,12,7,17,9,0,0,0,0,0,57,3,0,3,9,8,14,12,0,0,0,0,0,40,0,0,4,8,5,17,11,0,0,0,0,4,46,3,0,0,3,0,11,6,0,0,0,0,0,26,3,0,4,3,3,5,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,5,0,0,0,0
101041024,3,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,4,43,24,42,46,10,18,0,0,0,0,3,6,190,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,3,0,0,0,0,0,0,0,20,11,0,3,3,0,3,0,0,0,0,0,0,20,3,0,6,5,6,3,0,0,0,0,0,0,30,3,0,0,0,0,4,3,0,0,0,0,0,20,9,0,6,3,4,3,0,0,0,0,0,5,30,6,0,7,7,0,5,0,3,0,0,0,0,30,0,0,4,0,6,0,3,0,0,0,0,0,14,3,0,3,0,0,3,0,3,0,0,0,0,14,7,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0
101041025,24,6,0,0,0,0,0,61,3,0,5,3,0,0,0,0,0,0,0,9,20,91,20,131,288,99,198,95,17,8,3,13,37,1000,6,0,0,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,8,4,5,13,13,10,6,0,0,0,0,0,3,54,11,6,17,34,15,13,6,0,0,0,0,0,101,6,3,15,42,20,16,12,3,0,0,0,3,126,3,0,3,8,17,16,11,3,0,0,0,4,68,0,0,10,36,25,32,34,5,4,0,3,7,154,7,0,3,23,18,27,27,8,0,0,0,0,114,0,0,3,18,16,30,31,15,0,0,3,0,115,9,0,4,10,13,26,17,5,0,0,0,4,83,5,0,0,6,3,20,27,19,0,0,3,4,92,0,0,0,3,0,4,12,3,4,0,0,3,29,0,0,0,0,3,3,7,3,0,3
101041026,4,3,0,0,0,0,3,52,3,3,3,5,0,0,0,0,0,0,0,0,21,96,46,150,211,93,70,10,3,3,0,4,26,718,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,17,9,10,18,15,7,5,0,0,0,0,0,3,69,16,17,15,21,18,7,3,0,0,0,0,3,96,6,3,12,23,18,27,7,4,0,0,0,0,105,0,0,11,13,9,12,4,3,0,0,0,3,58,6,3,6,13,14,22,13,0,0,0,0,0,77,3,0,13,14,15,30,15,0,0,0,0,0,88,3,0,3,7,9,9,14,0,0,0,3,0,47,7,0,4,8,5,13,8,3,0,0,0,0,43,4,0,5,3,7,12,11,0,0,0,0,0,51,0,0,0,0,0,7,4,0,0,0,0,0,11,0,0,0,0,0,3,0,3,0,0
101041027,3,0,0,0,0,0,3,48,4,4,3,6,0,3,0,0,0,0,0,9,26,154,48,152,318,119,45,6,4,5,5,9,33,889,0,0,0,3,0,0,0,0,0,0,0,0,9,8,5,3,7,3,0,0,0,0,0,0,0,23,10,8,6,16,6,6,0,0,0,0,0,3,64,12,23,21,32,9,10,6,0,0,0,0,6,118,5,4,15,38,24,29,7,0,0,0,0,6,125,4,3,7,10,9,17,6,0,0,0,0,0,58,8,0,6,26,22,30,7,0,0,0,3,3,113,5,0,5,24,24,31,9,3,0,0,0,0,101,6,0,6,13,15,21,13,0,0,0,0,3,78,3,0,5,11,5,10,9,0,0,0,0,3,36,4,0,0,10,6,19,8,0,0,0,0,0,51,0,0,0,0,3,3,3,0,0,0,0,0,13,0,0,0,3,0,0,3,3,0,0
